frame_index,confidence,num_points,points,range_profile,motion_score
0,0.8,6,"[{""x"": -0.36710500717163086, ""y"": 0.6818175315856934, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3204345703125, ""y"": 0.6612539291381836, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.31363964080810547, ""y"": 0.6777048110961914, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.029146671295166016, ""y"": 0.6360411643981934, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.021457672119140625, ""y"": 0.6414055824279785, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.027179718017578125, ""y"": 0.6444454193115234, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[143153.0, 218668.0, 150901.0, 46511.0, 9799.0, 3354.0, 2122.0, 2263.0, 3255.0, 3080.0, 2050.0, 3338.0, 80413.0, 416934.0, 701201.0, 433448.0, 216938.0, 180037.0, 45552.0, 32884.0, 32426.0, 24895.0, 11715.0, 8424.0, 8495.0, 8905.0, 17069.0, 18589.0, 14609.0, 8212.0, 7638.0, 10167.0, 9077.0, 9320.0, 8982.0, 9398.0, 33485.0, 37615.0, 14778.0, 21882.0, 17649.0, 14809.0, 12041.0, 14490.0, 13168.0, 8560.0, 7824.0, 8258.0, 8439.0, 9575.0, 11562.0, 12604.0, 11539.0, 17051.0, 19819.0, 11030.0, 14064.0, 14063.0, 17013.0, 10313.0, 9991.0, 8111.0, 10194.0, 7491.0, 5961.0, 9317.0, 10576.0, 7581.0, 7191.0, 6302.0, 5515.0, 5639.0, 5416.0, 4947.0, 5374.0, 6146.0, 5568.0, 5227.0, 6631.0, 10831.0, 8301.0, 5149.0, 4661.0, 5025.0, 6014.0, 5292.0, 7402.0, 6959.0, 5934.0, 5352.0, 5085.0, 2933.0, 5704.0, 5387.0, 6239.0, 6266.0, 6414.0, 5909.0, 6724.0, 7261.0, 7977.0, 8905.0, 7695.0, 4140.0, 4283.0, 5453.0, 5375.0, 3985.0, 3511.0, 3916.0, 4077.0, 4006.0, 4089.0, 4098.0, 4034.0, 4386.0, 5388.0, 5158.0, 3369.0, 3485.0, 3719.0, 3205.0, 3219.0, 4091.0, 3060.0, 2710.0, 2733.0, 2610.0]",0.0
1,0.8,8,"[{""x"": -0.40411949157714844, ""y"": 0.7610321044921875, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.5058646202087402, ""y"": 0.7621049880981445, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2676844596862793, ""y"": 0.5752444267272949, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.24336576461791992, ""y"": 0.5990266799926758, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2587437629699707, ""y"": 0.6884336471557617, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.29522180557250977, ""y"": 0.6979107856750488, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3306269645690918, ""y"": 0.7191896438598633, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1398324966430664, ""y"": 0.6723403930664062, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142662.0, 218504.0, 150447.0, 46421.0, 9710.0, 3403.0, 2010.0, 2530.0, 3481.0, 3232.0, 2344.0, 1978.0, 23718.0, 107906.0, 172717.0, 149055.0, 174481.0, 154912.0, 71957.0, 46739.0, 53190.0, 50840.0, 36906.0, 15878.0, 6970.0, 4748.0, 5638.0, 10760.0, 15867.0, 10259.0, 10777.0, 9479.0, 8722.0, 9358.0, 8444.0, 10147.0, 37786.0, 46042.0, 26149.0, 28667.0, 18422.0, 8890.0, 7056.0, 9857.0, 7872.0, 4719.0, 8096.0, 8564.0, 9051.0, 8340.0, 9989.0, 13417.0, 14379.0, 16534.0, 21372.0, 12295.0, 13079.0, 15385.0, 18724.0, 11364.0, 8767.0, 5854.0, 7626.0, 8620.0, 7174.0, 8069.0, 7303.0, 5992.0, 7080.0, 7650.0, 6333.0, 5134.0, 5111.0, 6227.0, 5242.0, 4906.0, 5217.0, 4329.0, 6540.0, 10624.0, 7433.0, 5019.0, 3905.0, 4948.0, 5544.0, 5430.0, 6529.0, 7655.0, 6253.0, 5318.0, 5167.0, 3891.0, 5305.0, 5359.0, 7531.0, 8460.0, 9214.0, 7506.0, 5992.0, 6518.0, 5683.0, 8965.0, 8732.0, 7593.0, 7191.0, 4775.0, 4563.0, 3874.0, 4452.0, 4628.0, 4350.0, 4153.0, 4299.0, 4539.0, 3956.0, 4636.0, 5623.0, 5815.0, 3637.0, 3376.0, 3442.0, 2852.0, 3431.0, 4674.0, 3186.0, 2403.0, 2772.0, 2790.0]",0.0
2,0.8,7,"[{""x"": -0.3542304039001465, ""y"": 0.8409619331359863, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.34815073013305664, ""y"": 0.8659958839416504, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.03933906555175781, ""y"": 0.7304549217224121, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.015377998352050781, ""y"": 0.7524490356445312, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.019848346710205078, ""y"": 0.7696151733398438, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.02092123031616211, ""y"": 0.7908940315246582, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.1156926155090332, ""y"": 0.8153915405273438, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142678.0, 218398.0, 150626.0, 46399.0, 9537.0, 2953.0, 1967.0, 2370.0, 3597.0, 3327.0, 4179.0, 15694.0, 20956.0, 22409.0, 30513.0, 123984.0, 262398.0, 295424.0, 185692.0, 74282.0, 48342.0, 37247.0, 15134.0, 8954.0, 8296.0, 7436.0, 7115.0, 6939.0, 8667.0, 7452.0, 4803.0, 3188.0, 3775.0, 6645.0, 6886.0, 14224.0, 44619.0, 50007.0, 30090.0, 26963.0, 25260.0, 15315.0, 12685.0, 12796.0, 10295.0, 6288.0, 8343.0, 9237.0, 8950.0, 10213.0, 13007.0, 15785.0, 12645.0, 15966.0, 16539.0, 10316.0, 18265.0, 14550.0, 16670.0, 10368.0, 10787.0, 10221.0, 11276.0, 11402.0, 8547.0, 6155.0, 5551.0, 6657.0, 7596.0, 8498.0, 7871.0, 7142.0, 5136.0, 5043.0, 5173.0, 5804.0, 4679.0, 5008.0, 5610.0, 8743.0, 6986.0, 5816.0, 4698.0, 4520.0, 5700.0, 5001.0, 6674.0, 9633.0, 7371.0, 5879.0, 5505.0, 3880.0, 5113.0, 5224.0, 6765.0, 8792.0, 9619.0, 7111.0, 7066.0, 7367.0, 6918.0, 9224.0, 7806.0, 5498.0, 5966.0, 5025.0, 4843.0, 4086.0, 3526.0, 3488.0, 3652.0, 5130.0, 5131.0, 4689.0, 4441.0, 4993.0, 5926.0, 6579.0, 4392.0, 3059.0, 2442.0, 2310.0, 3386.0, 4162.0, 3070.0, 2131.0, 2421.0, 2370.0]",0.0
3,0.8,8,"[{""x"": -0.42825937271118164, ""y"": 0.8518695831298828, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.5123019218444824, ""y"": 0.8382797241210938, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2498030662536621, ""y"": 0.7567405700683594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.23031234741210938, ""y"": 0.7842779159545898, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1131892204284668, ""y"": 0.8500814437866211, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.00017881393432617188, ""y"": 0.7608532905578613, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.1308917999267578, ""y"": 0.7790923118591309, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.13786554336547852, ""y"": 0.8016228675842285, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142957.0, 218453.0, 150439.0, 46522.0, 9788.0, 3052.0, 1924.0, 3545.0, 10632.0, 16764.0, 13661.0, 6289.0, 2413.0, 2741.0, 7823.0, 20515.0, 42461.0, 68266.0, 69791.0, 52402.0, 48143.0, 45176.0, 32798.0, 16186.0, 8804.0, 4944.0, 4194.0, 6848.0, 8481.0, 5217.0, 5353.0, 6654.0, 4335.0, 7885.0, 11140.0, 7413.0, 22738.0, 24626.0, 18238.0, 25287.0, 23891.0, 12345.0, 11442.0, 9384.0, 8029.0, 8963.0, 9863.0, 10793.0, 9315.0, 11031.0, 13376.0, 15166.0, 14852.0, 19303.0, 18803.0, 13845.0, 16921.0, 16765.0, 19274.0, 12022.0, 9763.0, 7935.0, 10344.0, 10634.0, 9400.0, 8646.0, 10428.0, 9758.0, 8967.0, 9012.0, 7307.0, 4597.0, 4940.0, 5140.0, 5887.0, 7119.0, 6245.0, 5828.0, 7936.0, 11054.0, 7567.0, 4948.0, 4948.0, 5534.0, 7546.0, 6431.0, 7068.0, 10583.0, 9974.0, 5626.0, 5832.0, 4712.0, 6192.0, 5104.0, 5419.0, 6032.0, 6471.0, 5407.0, 5248.0, 5533.0, 6809.0, 9267.0, 7957.0, 5069.0, 4396.0, 4280.0, 4724.0, 3903.0, 3492.0, 3808.0, 4283.0, 3946.0, 3372.0, 3768.0, 3477.0, 4062.0, 5113.0, 5874.0, 3962.0, 3608.0, 3288.0, 2630.0, 3831.0, 4277.0, 2758.0, 1971.0, 2485.0, 2958.0]",0.0
4,0.8,8,"[{""x"": -0.521242618560791, ""y"": 0.806272029876709, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.49549341201782227, ""y"": 0.8536577224731445, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.47975778579711914, ""y"": 0.8794069290161133, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1646876335144043, ""y"": 0.8473992347717285, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.22459030151367188, ""y"": 0.8323788642883301, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1990199089050293, ""y"": 0.858306884765625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.05561113357543945, ""y"": 0.727236270904541, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.36656856536865234, ""y"": 0.7318854331970215, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142792.0, 218574.0, 150633.0, 46439.0, 9630.0, 3080.0, 2080.0, 2636.0, 9210.0, 18238.0, 16411.0, 5865.0, 2631.0, 2793.0, 9131.0, 24719.0, 35832.0, 42707.0, 109549.0, 161027.0, 76355.0, 57792.0, 59374.0, 22647.0, 4790.0, 5225.0, 3427.0, 5965.0, 6469.0, 4590.0, 3505.0, 3378.0, 6115.0, 14620.0, 18373.0, 8683.0, 7141.0, 10548.0, 11463.0, 17117.0, 14887.0, 9357.0, 8765.0, 8631.0, 14939.0, 14390.0, 13747.0, 10918.0, 8398.0, 13739.0, 16207.0, 15466.0, 16324.0, 22947.0, 21546.0, 14715.0, 18788.0, 16280.0, 16666.0, 10207.0, 10684.0, 7420.0, 9172.0, 12055.0, 8257.0, 5681.0, 7021.0, 7784.0, 10773.0, 10616.0, 6528.0, 4734.0, 4083.0, 6166.0, 5976.0, 6065.0, 6550.0, 6596.0, 6324.0, 9495.0, 7288.0, 4992.0, 5283.0, 5462.0, 5408.0, 5192.0, 6680.0, 8319.0, 8125.0, 6040.0, 4933.0, 4045.0, 5245.0, 5283.0, 5574.0, 6120.0, 6751.0, 6098.0, 7271.0, 7099.0, 5935.0, 10110.0, 9081.0, 6053.0, 4612.0, 5295.0, 5095.0, 4918.0, 3881.0, 3240.0, 3639.0, 4774.0, 4788.0, 4065.0, 3941.0, 4426.0, 5228.0, 5516.0, 3296.0, 3235.0, 4035.0, 3357.0, 3641.0, 4159.0, 2782.0, 2547.0, 2496.0, 2507.0]",0.0
5,0.8,6,"[{""x"": -0.4443526268005371, ""y"": 0.8643865585327148, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.37604570388793945, ""y"": 0.8003711700439453, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3758668899536133, ""y"": 0.8134245872497559, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.37479400634765625, ""y"": 0.8454322814941406, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.06330013275146484, ""y"": 0.8064508438110352, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.22476911544799805, ""y"": 0.817716121673584, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[143173.0, 218634.0, 150749.0, 46248.0, 9390.0, 3055.0, 1924.0, 2156.0, 3972.0, 9523.0, 27321.0, 32975.0, 15806.0, 3091.0, 5467.0, 12396.0, 19044.0, 42826.0, 85778.0, 150094.0, 141401.0, 63496.0, 33576.0, 13694.0, 6435.0, 3546.0, 4288.0, 7308.0, 9552.0, 6146.0, 3321.0, 3055.0, 5224.0, 16600.0, 22680.0, 17449.0, 29797.0, 32307.0, 15088.0, 13484.0, 12352.0, 13792.0, 14161.0, 11705.0, 8870.0, 10776.0, 11741.0, 9952.0, 7213.0, 8773.0, 14985.0, 16341.0, 16583.0, 21553.0, 20806.0, 13271.0, 15589.0, 15964.0, 19411.0, 11340.0, 10078.0, 6280.0, 7945.0, 10233.0, 7575.0, 8011.0, 8424.0, 5418.0, 9516.0, 10824.0, 6131.0, 4399.0, 4332.0, 7827.0, 8692.0, 5694.0, 4891.0, 5439.0, 6787.0, 10450.0, 9166.0, 5153.0, 7952.0, 9504.0, 7246.0, 5952.0, 6775.0, 7677.0, 7738.0, 5583.0, 5514.0, 6176.0, 7873.0, 7480.0, 6684.0, 5161.0, 5573.0, 5984.0, 6850.0, 6350.0, 5742.0, 9017.0, 8709.0, 6819.0, 5048.0, 4162.0, 4717.0, 4775.0, 3643.0, 3504.0, 4251.0, 4563.0, 4736.0, 4161.0, 4247.0, 4450.0, 5421.0, 6312.0, 3949.0, 3510.0, 3927.0, 3622.0, 4162.0, 5086.0, 3116.0, 2117.0, 2523.0, 2635.0]",8408.146875
6,0.8,6,"[{""x"": -0.16987323760986328, ""y"": 0.8597373962402344, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16647577285766602, ""y"": 0.8826255798339844, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15217065811157227, ""y"": 0.8908510208129883, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08600950241088867, ""y"": 0.9344816207885742, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.15860795974731445, ""y"": 0.9773969650268555, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.07849931716918945, ""y"": 1.0242462158203125, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142907.0, 218613.0, 150495.0, 46371.0, 9501.0, 3250.0, 1901.0, 2190.0, 4949.0, 8692.0, 18256.0, 20944.0, 13935.0, 18913.0, 23052.0, 13396.0, 9976.0, 14249.0, 44862.0, 149182.0, 175425.0, 94563.0, 62759.0, 50689.0, 21205.0, 9844.0, 8909.0, 12016.0, 8910.0, 4397.0, 5623.0, 4986.0, 7394.0, 19835.0, 24475.0, 12853.0, 23772.0, 26451.0, 19006.0, 15802.0, 13874.0, 14206.0, 13453.0, 13294.0, 13421.0, 11231.0, 12465.0, 10960.0, 6766.0, 8258.0, 19945.0, 25426.0, 21529.0, 21005.0, 20477.0, 14889.0, 15271.0, 15555.0, 18691.0, 10237.0, 8887.0, 6540.0, 9017.0, 11690.0, 9004.0, 7670.0, 6687.0, 6482.0, 7652.0, 10150.0, 7712.0, 4323.0, 3706.0, 5628.0, 5377.0, 4896.0, 4143.0, 5264.0, 6510.0, 8601.0, 8077.0, 5360.0, 5180.0, 5520.0, 5338.0, 5251.0, 5203.0, 7267.0, 9301.0, 8424.0, 6376.0, 7253.0, 8173.0, 7922.0, 6856.0, 4925.0, 5530.0, 5491.0, 6976.0, 7527.0, 6979.0, 9326.0, 8514.0, 4723.0, 5598.0, 5801.0, 5307.0, 4136.0, 3422.0, 3265.0, 3958.0, 4544.0, 3945.0, 3483.0, 3997.0, 4353.0, 5066.0, 5550.0, 3461.0, 3515.0, 3445.0, 3064.0, 4392.0, 4804.0, 3325.0, 2943.0, 3095.0, 2424.0]",9729.076562500002
7,0.8,8,"[{""x"": -0.14340877532958984, ""y"": 0.7318854331970215, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1423358917236328, ""y"": 0.7726550102233887, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14859437942504883, ""y"": 0.847935676574707, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1380443572998047, ""y"": 0.8903145790100098, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12123584747314453, ""y"": 0.9037256240844727, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.08869171142578125, ""y"": 0.9171366691589355, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08475780487060547, ""y"": 0.9691715240478516, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08422136306762695, ""y"": 1.0405182838439941, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142942.0, 218871.0, 151087.0, 46384.0, 9654.0, 3091.0, 1931.0, 2371.0, 3480.0, 3112.0, 3200.0, 13328.0, 31835.0, 37686.0, 26012.0, 18706.0, 33327.0, 33171.0, 43253.0, 127089.0, 179499.0, 107936.0, 27183.0, 25586.0, 19147.0, 67174912.0, 134546947.0, 84082695.0, 172037.0, 174338560.0, 15360.0, 0.0, 2048.0, 512.0, 4294967040.0, 77311.0, 25600.0, 998244352.0, 3201903929.0, 2147483705.0, 2147483710.0, 2111.0, 368560384.0, 16.0, 3024639488.0, 1099512.0, 1325400064.0, 922588999.0, 16.0, 289825024.0, 1072381.0, 1459617792.0, 1710816328.0, 39.0, 2672571136.0, 1375232.0, 1006632960.0, 150858315.0, 35.0, 4232464384.0, 1035785.0, 1476395008.0, 77381.0, 131072.0, 36570112.0, 55930880.0, 38598912.0, 11904512.0, 2532608.0, 847872.0, 561408.0, 607488.0, 848640.0, 797952.0, 896512.0, 1577472.0, 3623424.0, 4615424.0, 2376960.0, 5163008.0, 13412608.0, 11914752.0, 12155648.0, 9017344.0, 5756416.0, 8404736.0, 5376768.0, 1551872.0, 1768960.0, 16908288.0, 84280068.0, 50333448.0, 46138629.0, 1680998400.0, 3997706.0, 0.0, 589824.0, 131072.0, 4294901760.0, 19791871.0, 7208960.0, 2147483648.0, 3643619643.0, 14782.0, 16000.0, 606080.0, 4141678592.0, 3993.0, 1213464576.0, 669644770.0, 0.0, 4250815281.0, 8951.0, 1228734464.0, 660535968.0, 0.0, 4290464059.0, 4251.0, 1179320320.0, 285999043.0, 0.0, 41175368.0, 5188.0, 1180303360.0, 344654501.0, 0.0, 165497425.0, 4153.0]",498297681.93688875
8,0.8,8,"[{""x"": -0.45686960220336914, ""y"": 0.6671547889709473, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.40268898010253906, ""y"": 0.7211565971374512, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.31810998916625977, ""y"": 1.798868179321289, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.012874603271484375, ""y"": 0.7590651512145996, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.16307830810546875, ""y"": 0.9139180183410645, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.13750791549682617, ""y"": 0.9325146675109863, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.14412403106689453, ""y"": 0.945746898651123, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.30308961868286133, ""y"": 0.835418701171875, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142443.0, 218166.0, 150656.0, 46449.0, 9632.0, 3347.0, 2052.0, 2351.0, 3505.0, 3241.0, 3931.0, 9633.0, 14996.0, 17061.0, 12102.0, 9293.0, 27504.0, 41099.0, 62394.0, 75281.0, 105081.0, 105728.0, 45072.0, 7089.0, 6715.0, 5380.0, 3635.0, 4925.0, 6544.0, 6517.0, 5387.0, 3774.0, 6892.0, 19294.0, 32376.0, 31038.0, 31206.0, 32812.0, 25505.0, 22037.0, 21531.0, 19270.0, 13645.0, 10548.0, 9215.0, 7149.0, 9009.0, 8284.0, 5457.0, 7691.0, 10693.0, 11522.0, 7395.0, 16764.0, 20809.0, 12327.0, 14653.0, 15254.0, 18201.0, 9181.0, 7946.0, 7176.0, 9015.0, 6582.0, 6272.0, 6278.0, 5828.0, 5154.0, 5931.0, 7524.0, 7161.0, 4830.0, 4759.0, 6044.0, 5742.0, 5084.0, 5744.0, 4819.0, 5912.0, 7503.0, 7776.0, 5431.0, 5154.0, 5271.0, 4751.0, 4255.0, 4504.0, 3869.0, 6621.0, 5537.0, 3385.0, 4698.0, 5600.0, 4934.0, 6305.0, 6573.0, 5966.0, 4623.0, 4720.0, 5691.0, 6402.0, 9768.0, 8317.0, 5006.0, 4529.0, 3193.0, 3454.0, 3975.0, 4267.0, 4117.0, 3261.0, 3608.0, 3973.0, 4419.0, 4048.0, 4182.0, 5243.0, 5957.0, 4135.0, 3123.0, 2760.0, 2356.0, 3905.0, 4561.0, 2665.0, 2723.0, 2878.0, 3224.0]",9972732.499896726
9,0.8,10,"[{""x"": -0.3039836883544922, ""y"": 0.7429718971252441, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1938343048095703, ""y"": 0.7528066635131836, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10156631469726562, ""y"": 0.7340312004089355, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13250112533569336, ""y"": 0.750124454498291, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.24515390396118164, ""y"": 1.8146038055419922, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.34940242767333984, ""y"": 0.8121728897094727, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.36960840225219727, ""y"": 0.8581280708312988, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.42128562927246094, ""y"": 0.8053779602050781, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.0136237144470215, ""y"": 1.5957355499267578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.0676255226135254, ""y"": 1.573026180267334, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[142772.0, 218500.0, 150593.0, 46246.0, 9637.0, 3386.0, 2016.0, 2279.0, 3391.0, 3219.0, 3709.0, 8392.0, 9548.0, 13378.0, 7997.0, 40684.0, 127780.0, 170683.0, 130253.0, 77814.0, 85489.0, 57238.0, 32169.0, 8951.0, 6931.0, 5247.0, 3403.0, 5193.0, 7404.0, 7531.0, 5401.0, 3251.0, 7217.0, 10849.0, 9732.0, 16710.0, 49692.0, 51579.0, 25700.0, 23117.0, 29493.0, 23102.0, 14750.0, 12820.0, 10776.0, 7106.0, 8318.0, 10750.0, 8837.0, 8023.0, 12704.0, 11538.0, 9989.0, 16948.0, 20653.0, 17607.0, 28346.0, 22616.0, 19358.0, 11889.0, 10644.0, 7396.0, 9203.0, 5747.0, 6945.0, 6732.0, 6147.0, 5459.0, 7375.0, 7407.0, 6020.0, 4159.0, 3805.0, 5554.0, 5012.0, 4873.0, 4315.0, 4092.0, 6215.0, 8091.0, 7051.0, 5361.0, 5388.0, 4847.0, 4381.0, 4522.0, 4622.0, 3262.0, 5611.0, 4519.0, 4321.0, 4620.0, 6049.0, 6521.0, 7731.0, 6936.0, 5808.0, 4473.0, 5176.0, 6172.0, 7063.0, 9823.0, 7994.0, 5396.0, 5367.0, 3678.0, 4096.0, 4339.0, 4982.0, 4929.0, 3440.0, 4120.0, 4370.0, 4603.0, 4100.0, 4085.0, 4687.0, 6120.0, 4004.0, 2849.0, 2576.0, 2300.0, 3618.0, 4447.0, 3014.0, 2195.0, 2534.0, 2964.0]",9770797.688687425
