frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.571,0.264,0.692,14.56,-26.37,1.25,null,null
1,0.95,0.5,0.171,0.875,-32.41,41.47,11.2,null,null
2,0.95,0.425,0.177,0.916,-4.46,-1.31,-2.56,null,null
3,0.95,0.43,0.15,0.889,-0.34,-3.39,-2.53,null,null
4,0.95,0.451,0.215,0.881,0.15,-1.62,-6.01,null,null
5,0.95,0.443,0.184,0.892,-4.97,-6.78,-1.46,null,null
6,0.95,0.469,0.185,0.86,-7.42,0.61,4.91,null,null
7,0.95,0.494,0.149,0.886,-2.56,2.11,-1.71,null,null
8,0.95,0.485,0.153,0.899,-0.58,4.18,-2.35,null,null
9,0.95,0.415,0.142,0.908,-1.1,6.32,1.71,null,null
10,0.95,0.482,0.171,0.894,-1.89,-1.16,-2.29,null,null
11,0.95,0.45,0.14,0.848,-2.47,-2.04,-0.98,null,null
12,0.95,0.443,0.141,0.847,-0.67,-1.98,-2.9,null,null
13,0.95,0.442,0.103,0.866,-1.1,-0.27,-0.7,null,null
14,0.95,0.424,0.127,0.87,-0.52,-1.98,0.27,null,null
15,0.95,0.488,0.141,0.878,-2.47,1.8,-0.73,null,null
16,0.95,0.806,0.421,0.378,15.44,2.59,-6.13,null,null
17,0.95,1.08,0.589,0.494,-71.44,52.31,19.01,null,null
18,0.95,1.057,0.126,0.552,-91.43,109.81,-46.97,null,null
19,0.95,1.193,-0.142,0.579,-167.79,107.55,-128.94,null,null
20,0.95,0.01,0.033,0.568,-173.77,33.17,-92.44,null,null
21,0.95,-0.588,-0.241,0.69,-103.31,70.16,-90.21,null,null
22,0.95,-0.022,-0.279,0.93,74.28,-87.77,96.13,null,null
23,0.95,-0.692,0.287,1.318,81.06,-84.14,152.38,null,null
24,0.95,0.105,-0.087,0.781,108.71,-45.47,173.77,null,null
25,0.95,0.939,-0.425,0.641,23.83,-61.13,76.63,null,null
26,0.95,0.917,0.674,0.173,4.46,-165.62,-149.51,null,null
27,0.95,1.316,1.031,-0.158,98.64,-129.09,-113.28,null,null
28,0.95,1.452,0.447,0.292,28.41,2.35,-37.17,null,null
29,0.95,1.173,0.837,0.341,-46.54,49.53,10.74,null,null
30,0.95,1.559,0.463,0.071,-88.26,97.66,-18.62,null,null
31,0.95,1.281,0.476,0.687,-184.82,55.3,52.86,null,null
32,0.95,1.453,0.512,0.234,-92.56,-7.48,45.5,null,null
33,0.95,0.794,0.42,0.685,-123.11,80.08,-24.23,null,null
34,0.95,0.457,-0.192,0.178,-165.56,54.93,-83.65,null,null
35,0.95,-0.508,-0.009,0.61,-137.82,54.99,-152.41,null,null
36,0.95,-0.449,0.027,0.506,-15.2,75.99,-147.77,null,null
37,0.95,-0.723,-0.23,1.21,-217.44,86.4,-105.84,null,null
38,0.95,-1.099,1.925,1.819,10.62,38.27,-79.84,null,null
39,0.95,0.491,-0.598,0.657,-75.44,-42.27,61.86,null,null
40,0.95,0.157,0.117,1.087,12.39,-17.55,20.42,null,null
41,0.95,0.365,-0.146,1.099,3.6,1.71,13.61,null,null
42,0.95,0.228,0.313,0.929,-7.78,-18.71,-3.48,null,null
43,0.95,0.24,0.245,0.967,2.69,0.4,9.98,null,null
44,0.95,0.37,0.118,0.817,-7.39,-0.43,5.95,null,null
45,0.95,0.354,0.047,0.944,7.14,19.01,-16.51,null,null
46,0.95,0.239,0.201,0.925,-25.76,9.95,-15.32,null,null
47,0.95,0.236,0.143,1.009,-14.53,8.06,0.95,null,null
48,0.95,0.256,0.151,0.913,1.8,-8.73,-2.41,null,null
49,0.95,0.232,0.125,0.97,-2.66,5.52,-1.19,null,null
50,0.95,0.255,0.147,0.978,-7.78,6.47,1.1,null,null
51,0.95,0.235,0.124,0.969,1.59,-0.64,-0.21,null,null
52,0.95,0.231,0.103,0.948,3.91,-0.12,1.68,null,null
53,0.95,0.231,0.119,0.966,-7.2,6.04,-0.43,null,null
54,0.95,0.22,0.083,0.972,3.85,-2.93,3.78,null,null
0,0.95,0.221,0.108,0.97,13.95,2.72,-0.49,null,null
1,0.95,0.23,0.103,0.994,5.71,0.18,-1.19,null,null
2,0.95,0.215,0.131,0.971,0.21,-1.04,3.42,null,null
3,0.95,0.203,0.135,0.96,1.53,-2.11,2.5,null,null
4,0.95,0.231,0.105,0.956,2.75,-0.7,4.15,null,null
5,0.95,0.157,0.188,1.041,-4.06,-0.92,17.18,null,null
6,0.95,-0.008,0.379,1.077,50.81,-17.06,51.21,null,null
7,0.95,0.154,0.102,0.973,97.23,-37.78,80.14,null,null
8,0.95,0.134,0.054,0.857,88.11,-45.99,74.13,null,null
9,0.95,0.254,0.453,0.441,149.66,4.73,65.1,null,null
10,0.95,0.81,-0.192,0.771,79.38,-9.7,-19.23,null,null
11,0.95,0.908,0.499,0.847,50.66,-14.95,-97.14,null,null
12,0.95,0.681,0.924,0.555,34.36,-4.79,-32.72,null,null
13,0.95,0.484,0.907,0.72,-5.25,-6.96,38.12,null,null
14,0.95,0.4,0.833,0.486,-28.23,23.41,103.21,null,null
15,0.95,0.654,0.35,0.541,24.72,-18.49,75.99,null,null
16,0.95,0.808,0.335,0.494,3.75,-2.66,1.4,null,null
17,0.95,0.826,0.254,0.481,11.93,2.17,-1.37,null,null
18,0.95,1.0,0.127,0.587,2.66,25.48,20.39,null,null
19,0.95,1.331,-0.169,0.463,-68.0,57.86,5.98,null,null
20,0.95,0.868,-0.368,0.694,-114.84,117.1,-146.7,null,null
21,0.95,-0.081,-0.238,0.654,-187.32,42.57,-188.09,null,null
22,0.95,-1.187,-0.889,1.649,-18.4,223.85,-248.82,null,null
23,0.95,0.062,-0.381,0.499,124.42,-78.04,-25.64,null,null
24,0.95,-0.49,0.03,1.523,92.47,-88.11,148.14,null,null
25,0.95,-0.119,-0.085,0.85,190.53,-80.2,187.81,null,null
26,0.95,0.696,-0.691,0.551,134.13,-87.89,197.24,null,null
27,0.95,1.163,-1.426,0.801,217.6,-95.61,0.89,null,null
28,0.95,1.146,0.22,0.752,69.09,-84.05,-59.94,null,null
29,0.95,1.453,-0.36,0.855,-70.74,-57.13,-42.18,null,null
30,0.95,1.215,0.009,0.685,-95.49,-31.01,-59.72,null,null
31,0.95,1.395,-0.123,0.343,-83.96,12.97,-25.79,null,null
32,0.95,1.265,-0.158,0.498,-153.66,117.07,-72.91,null,null
33,0.95,1.087,-0.236,0.64,-137.94,80.08,-108.16,null,null
34,0.95,0.669,0.061,0.483,-80.97,84.2,-136.97,null,null
35,0.95,0.256,-0.267,0.505,-193.95,36.04,-194.56,null,null
36,0.95,-0.431,-0.515,0.416,-159.92,12.51,-216.47,null,null
37,0.95,-2.07,0.305,1.875,-180.0,25.09,-325.66,null,null
38,0.95,-0.646,0.479,1.018,-19.35,-30.82,102.45,null,null
39,0.95,0.109,-0.33,1.543,50.14,79.1,-53.07,null,null
40,0.95,-0.002,0.153,0.81,-55.15,-31.43,45.69,null,null
41,0.95,0.206,-0.02,1.071,33.88,1.83,-2.78,null,null
42,0.95,0.352,-0.231,1.039,3.42,-3.08,14.04,null,null
43,0.95,0.175,0.159,1.056,-6.62,7.78,-15.69,null,null
44,0.95,0.199,0.089,1.024,-4.76,-5.83,-9.16,null,null
45,0.95,0.199,0.131,0.921,1.68,9.0,-13.25,null,null
46,0.95,0.172,0.075,0.944,-11.69,-3.02,4.21,null,null
47,0.95,0.203,0.062,0.974,1.22,2.47,-3.11,null,null
48,0.95,0.191,0.1,0.922,-7.54,4.82,-3.2,null,null
49,0.95,0.171,0.072,1.008,-2.08,8.15,1.95,null,null
50,0.95,0.179,0.071,1.004,-4.06,-4.52,-0.18,null,null
51,0.95,0.173,0.081,1.003,2.17,-0.27,-0.18,null,null
52,0.95,0.2,0.065,0.992,-1.22,-1.98,3.02,null,null
53,0.95,0.179,0.058,0.983,13.73,-0.52,-0.98,null,null
54,0.95,0.174,0.078,0.981,-0.15,-2.93,7.51,null,null
55,0.95,0.213,0.043,0.988,17.15,0.27,6.04,null,null
0,0.95,0.171,0.096,0.96,14.07,3.45,4.76,null,null
1,0.95,0.208,0.057,0.943,4.94,4.24,1.65,null,null
2,0.95,0.153,0.067,1.043,-1.37,0.06,6.26,null,null
3,0.95,0.087,0.134,0.963,11.96,-8.36,8.0,null,null
4,0.95,0.015,0.165,1.252,52.03,-15.53,59.51,null,null
5,0.95,0.02,0.265,0.971,31.92,-69.12,142.67,null,null
6,0.95,0.216,0.023,0.78,80.02,-66.9,139.99,null,null
7,0.95,0.479,-0.003,0.515,58.66,-56.25,108.07,null,null
8,0.95,0.76,-0.324,0.644,14.07,-18.77,25.39,null,null
9,0.95,0.784,0.272,0.802,147.25,-1.8,-115.94,null,null
10,0.95,0.935,0.404,0.858,65.77,-19.93,-1.19,null,null
11,0.95,0.786,0.199,0.551,7.57,-28.5,-21.06,null,null
12,0.95,0.663,0.449,0.573,-18.34,0.27,1.4,null,null
13,0.95,0.678,0.357,0.57,2.01,9.06,-1.04,null,null
14,0.95,0.673,0.436,0.623,17.24,0.18,0.21,null,null
15,0.95,0.68,0.353,0.654,5.52,-0.37,5.62,null,null
16,0.95,0.655,0.471,0.628,1.56,8.03,2.32,null,null
17,0.95,0.637,0.428,0.62,4.94,-0.61,7.08,null,null
18,0.95,0.63,0.362,0.624,1.01,9.55,5.28,null,null
19,0.95,0.984,0.275,0.875,-49.99,16.36,-32.41,null,null
20,0.95,1.186,-0.341,0.828,-109.29,50.42,-93.3,null,null
21,0.95,0.424,0.243,0.623,0.76,104.98,-214.45,null,null
22,0.95,-0.546,-0.373,1.151,16.88,-2.66,-73.92,null,null
23,0.95,-0.901,1.234,1.718,-107.43,192.45,-219.43,null,null
24,0.95,-0.016,0.078,0.776,85.45,30.67,17.12,null,null
25,0.95,-0.824,0.261,1.23,104.59,-71.96,175.85,null,null
26,0.95,0.002,0.036,0.542,203.16,-43.82,248.02,null,null
27,0.95,0.268,-0.329,0.702,79.38,-25.3,272.29,null,null
28,0.95,0.647,-0.736,0.961,81.24,-19.35,209.36,null,null
