frame_index,confidence,num_points,points,range_profile,motion_score
0,0.8,10,"[{""x"": -2.016127109527588, ""y"": 1.3756155967712402, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2480149269104004, ""y"": 0.20384788513183594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.25534629821777344, ""y"": 0.2238750457763672, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.359952449798584, ""y"": 0.29093027114868164, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.36460161209106445, ""y"": 0.32705068588256836, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.18310546875, ""y"": 0.20456314086914062, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3420710563659668, ""y"": 0.3955364227294922, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0388026237487793, ""y"": 0.13500452041625977, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03987550735473633, ""y"": 0.14126300811767578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.036835670471191406, ""y"": 0.16808509826660156, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
1,0.8,11,"[{""x"": -0.28967857360839844, ""y"": 0.18042325973510742, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0207762718200684, ""y"": 1.3673901557922363, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2467632293701172, ""y"": 0.1965165138244629, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3440380096435547, ""y"": 0.3104209899902344, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1723766326904297, ""y"": 0.21153688430786133, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3363490104675293, ""y"": 0.3553032875061035, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.308990478515625, ""y"": 0.4189610481262207, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.038623809814453125, ""y"": 0.13500452041625977, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.039696693420410156, ""y"": 0.14126300811767578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03612041473388672, ""y"": 0.16951560974121094, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.14519691467285156, ""y"": 0.3789067268371582, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
2,0.8,9,"[{""x"": -0.3005862236022949, ""y"": 0.1639723777770996, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2523064613342285, ""y"": 0.1863241195678711, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.33473968505859375, ""y"": 0.3184676170349121, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16540288925170898, ""y"": 0.2154707908630371, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.32079219818115234, ""y"": 0.3694295883178711, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3116726875305176, ""y"": 0.41878223419189453, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.038623809814453125, ""y"": 0.13500452041625977, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.039696693420410156, ""y"": 0.1410841941833496, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.035762786865234375, ""y"": 0.1704096794128418, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
3,0.8,12,"[{""x"": -0.302731990814209, ""y"": 0.1634359359741211, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0041465759277344, ""y"": 1.3952851295471191, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2492666244506836, ""y"": 0.18936395645141602, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.28949975967407227, ""y"": 0.2886056900024414, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16307830810546875, ""y"": 0.2181529998779297, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3147125244140625, ""y"": 0.3376007080078125, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.30487775802612305, ""y"": 0.37801265716552734, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.28771162033081055, ""y"": 0.4329085350036621, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0388026237487793, ""y"": 0.13518333435058594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.039696693420410156, ""y"": 0.1410841941833496, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03540515899658203, ""y"": 0.1709461212158203, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.14287233352661133, ""y"": 0.37783384323120117, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
4,0.8,10,"[{""x"": -0.30308961868286133, ""y"": 0.15985965728759766, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.24461746215820312, ""y"": 0.19168853759765625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.9515752792358398, ""y"": 1.4677047729492188, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16039609909057617, ""y"": 0.2186894416809082, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2937912940979004, ""y"": 0.35440921783447266, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3005862236022949, ""y"": 0.37211179733276367, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1977682113647461, ""y"": 0.37157535552978516, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.038623809814453125, ""y"": 0.13500452041625977, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03933906555175781, ""y"": 0.14126300811767578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.036835670471191406, ""y"": 0.17201900482177734, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
5,0.8,10,"[{""x"": -0.3063082695007324, ""y"": 0.15413761138916016, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0408034324645996, ""y"": 1.3393163681030273, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.24068355560302734, ""y"": 0.19365549087524414, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1577138900756836, ""y"": 0.22172927856445312, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2900362014770508, ""y"": 0.35583972930908203, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.30237436294555664, ""y"": 0.3681778907775879, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.19276142120361328, ""y"": 0.37300586700439453, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.038623809814453125, ""y"": 0.13464689254760742, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.039696693420410156, ""y"": 0.1417994499206543, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.040411949157714844, ""y"": 0.1729130744934082, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
6,0.8,11,"[{""x"": -0.31560659408569336, ""y"": 0.13321638107299805, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0197033882141113, ""y"": 1.3695359230041504, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.23818016052246094, ""y"": 0.19115209579467773, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.32722949981689453, ""y"": 0.2498030662536621, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15592575073242188, ""y"": 0.2211928367614746, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.30738115310668945, ""y"": 0.34368038177490234, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.30666589736938477, ""y"": 0.36853551864624023, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2199411392211914, ""y"": 0.35065412521362305, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03898143768310547, ""y"": 0.13446807861328125, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03987550735473633, ""y"": 0.14197826385498047, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.04363059997558594, ""y"": 0.17344951629638672, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
7,0.8,9,"[{""x"": -0.3440380096435547, ""y"": 0.21386146545410156, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0565390586853027, ""y"": 1.3153553009033203, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2453327178955078, ""y"": 0.17917156219482422, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3190040588378906, ""y"": 0.3293752670288086, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15342235565185547, ""y"": 0.22083520889282227, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3052353858947754, ""y"": 0.3705024719238281, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03844499588012695, ""y"": 0.1348257064819336, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.039517879486083984, ""y"": 0.14215707778930664, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.04380941390991211, ""y"": 0.17344951629638672, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
8,0.8,9,"[{""x"": -0.3508329391479492, ""y"": 0.20009279251098633, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -2.0561814308166504, ""y"": 1.3166069984436035, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2467632293701172, ""y"": 0.17827749252319336, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.31685829162597656, ""y"": 0.3311634063720703, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15270709991455078, ""y"": 0.22155046463012695, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2970099449157715, ""y"": 0.37604570388793945, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03844499588012695, ""y"": 0.13518333435058594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03916025161743164, ""y"": 0.14215707778930664, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.04184246063232422, ""y"": 0.1736283302307129, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
9,0.8,8,"[{""x"": -0.2560615539550781, ""y"": 0.18328428268432617, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.326693058013916, ""y"": 0.2524852752685547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2937912940979004, ""y"": 0.3520846366882324, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.28145313262939453, ""y"": 0.3819465637207031, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14358758926391602, ""y"": 0.21439790725708008, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03844499588012695, ""y"": 0.13518333435058594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0388026237487793, ""y"": 0.1423358917236328, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.042557716369628906, ""y"": 0.17380714416503906, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
