frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
28,0.95,0.012,0.991,0.005,10.53,-3.85,-0.34,null,null
0,0.95,0.015,1.005,0.074,-13.67,-3.14,16.24,null,null
1,0.95,0.013,0.931,0.126,-38.15,16.69,-3.02,null,null
2,0.95,-0.003,0.971,0.216,-16.17,12.6,13.58,null,null
3,0.95,0.068,0.989,0.143,48.07,-16.27,-9.28,null,null
4,0.95,0.025,1.045,0.01,27.83,-20.91,-3.63,null,null
5,0.95,0.014,0.977,0.069,-11.69,1.53,3.85,null,null
6,0.95,-0.022,0.945,0.18,-37.9,25.42,2.99,null,null
7,0.95,0.001,1.0,0.215,-35.16,25.3,15.26,null,null
8,0.95,0.01,0.899,0.234,9.25,5.19,-10.9,null,null
9,0.95,0.001,0.949,0.216,25.48,-24.05,-7.02,null,null
10,0.95,0.029,0.979,0.069,13.52,-8.12,3.48,null,null
11,0.95,0.017,1.001,0.071,-9.95,6.47,-1.46,null,null
12,0.95,-0.022,0.988,0.179,-34.67,32.9,8.79,null,null
13,0.95,0.03,0.93,0.313,-149.48,-29.54,84.54,null,null
14,0.95,0.226,0.75,0.515,-51.55,-19.14,12.91,null,null
15,0.95,0.077,1.12,0.147,-9.46,-17.3,-17.43,null,null
16,0.95,-0.037,0.935,0.224,-33.36,-9.19,-15.9,null,null
17,0.95,-0.129,0.982,0.261,6.26,1.86,-13.67,null,null
18,0.95,-0.079,0.925,0.273,-24.69,-17.37,-12.57,null,null
19,0.95,-0.062,0.917,0.341,-30.61,-16.57,-3.78,null,null
20,0.95,-0.088,0.866,0.335,24.81,38.76,1.19,null,null
21,0.95,-0.116,0.982,0.372,-0.85,4.03,-8.33,null,null
22,0.95,-0.11,0.929,0.395,-14.19,-2.96,1.95,null,null
23,0.95,-0.013,0.869,0.418,59.45,-62.56,-5.98,null,null
24,0.95,0.052,0.936,0.214,9.43,-0.79,-5.37,null,null
25,0.95,0.04,0.947,0.23,-35.0,15.66,1.8,null,null
26,0.95,-0.051,0.886,0.487,16.21,-12.82,-2.99,null,null
27,0.95,0.079,1.041,0.082,21.21,7.32,6.84,null,null
28,0.95,0.05,0.937,0.27,-31.43,4.3,16.39,null,null
0,0.95,-0.056,0.87,0.357,-0.64,-8.88,-5.1,null,null
1,0.95,-0.015,0.975,0.18,23.83,-28.2,-31.37,null,null
2,0.95,0.109,0.944,0.237,-33.14,-11.02,13.67,null,null
3,0.95,-0.031,0.911,0.418,7.11,10.13,-4.24,null,null
4,0.95,-0.001,0.958,0.308,38.51,-44.86,2.96,null,null
5,0.95,0.032,0.926,0.315,-41.87,33.97,8.03,null,null
6,0.95,0.06,0.902,0.448,-21.97,5.98,-1.16,null,null
7,0.95,0.038,0.908,0.307,53.56,-19.1,-20.81,null,null
8,0.95,-0.005,0.938,0.372,-2.59,19.99,14.19,null,null
9,0.95,0.057,0.945,0.327,-47.06,27.62,13.82,null,null
10,0.95,0.006,0.815,0.5,21.88,-22.4,-11.11,null,null
11,0.95,0.008,0.983,0.265,48.86,-16.42,-3.75,null,null
12,0.95,-0.142,1.005,0.193,-45.63,50.17,20.78,null,null
13,0.95,-0.258,0.835,0.521,-197.18,146.12,92.78,null,null
14,0.95,0.072,0.211,0.965,-177.74,-22.06,90.3,null,null
15,0.95,-0.108,0.986,0.149,-32.69,20.48,14.95,null,null
16,0.95,-0.052,0.894,0.22,-14.25,-11.75,14.16,null,null
17,0.95,-0.065,0.907,0.359,6.71,-20.78,5.1,null,null
18,0.95,-0.061,1.019,0.157,72.88,-46.69,-31.62,null,null
19,0.95,-0.109,0.996,0.181,-8.03,12.05,-4.39,null,null
20,0.95,-0.021,1.051,0.137,-16.79,30.98,51.73,null,null
21,0.95,-0.046,0.937,0.277,-24.51,24.54,-11.29,null,null
22,0.95,0.033,0.922,0.182,35.68,-17.58,-6.59,null,null
23,0.95,-0.052,0.964,0.186,-17.33,0.76,6.38,null,null
24,0.95,-0.046,0.989,0.229,-66.29,31.89,2.47,null,null
25,0.95,-0.029,0.839,0.384,30.34,-34.88,6.84,null,null
26,0.95,0.004,0.869,0.221,-16.69,-23.16,10.32,null,null
27,0.95,-0.005,0.98,0.249,-16.48,13.03,16.11,null,null
28,0.95,-0.008,0.934,0.405,-32.9,-2.47,1.62,null,null
0,0.95,0.02,1.005,0.186,57.59,-27.59,-15.35,null,null
1,0.95,-0.008,0.968,0.205,-4.15,9.06,8.33,null,null
2,0.95,0.015,0.955,0.241,-38.76,22.13,6.1,null,null
3,0.95,-0.162,0.844,0.493,29.57,-46.63,-8.7,null,null
4,0.95,-0.012,0.993,0.225,23.68,-19.99,-14.34,null,null
5,0.95,-0.049,0.979,0.247,-5.22,17.91,-0.09,null,null
