frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
7,0.95,0.707,-0.077,0.298,-29.27,27.56,-150.67,null,null
8,0.95,0.515,0.179,0.345,0.4,16.24,-199.22,null,null
9,0.95,0.069,0.526,0.386,-68.27,17.73,-237.16,null,null
10,0.95,-0.383,1.363,0.471,30.12,44.1,-263.59,null,null
11,0.95,0.031,1.279,0.555,-73.31,-1.1,-16.72,null,null
12,0.95,-0.035,1.1,0.417,-3.33,-5.89,13.15,null,null
13,0.95,0.006,0.783,0.354,-5.16,0.89,8.45,null,null
14,0.95,-0.006,0.874,0.434,5.89,4.12,-4.21,null,null
15,0.95,-0.02,0.922,0.462,-5.37,5.89,-2.56,null,null
16,0.95,-0.009,0.896,0.424,1.83,-1.34,2.38,null,null
17,0.95,-0.018,0.855,0.418,-1.01,-5.83,2.01,null,null
18,0.95,-0.004,0.883,0.411,-4.39,-5.89,-3.42,null,null
19,0.95,-0.015,0.909,0.457,-3.27,5.74,-5.16,null,null
0,0.95,0.944,-0.327,0.11,-1.43,-0.98,-3.69,null,null
1,0.95,0.96,-0.284,0.086,1.04,-2.69,-6.04,null,null
2,0.95,0.938,-0.35,0.076,-1.22,2.72,-4.39,null,null
3,0.95,0.96,-0.826,-0.198,-15.35,20.17,-44.98,null,null
4,0.95,0.689,-0.347,0.109,-44.1,93.3,-149.94,null,null
5,0.95,0.575,0.145,0.397,-2.78,115.7,-187.41,null,null
6,0.95,0.438,0.554,0.511,29.15,89.85,-168.61,null,null
7,0.95,0.206,0.541,0.526,39.98,99.77,-175.33,null,null
8,0.95,-0.329,1.247,0.756,8.27,96.59,-204.93,null,null
9,0.95,0.032,1.044,0.801,-86.83,7.97,4.82,null,null
10,0.95,-0.054,0.942,0.708,2.32,-10.07,11.35,null,null
11,0.95,0.012,0.643,0.543,-7.78,-1.89,17.79,null,null
12,0.95,-0.012,0.689,0.645,10.59,3.2,-0.79,null,null
13,0.95,-0.031,0.758,0.683,1.43,6.16,-3.78,null,null
14,0.95,-0.025,0.758,0.665,1.53,-1.68,-1.4,null,null
15,0.95,-0.019,0.751,0.629,0.58,-0.85,1.8,null,null
16,0.95,-0.013,0.728,0.637,-1.5,1.77,-1.4,null,null
17,0.95,-0.021,0.75,0.67,-1.19,2.59,-1.86,null,null
18,0.95,-0.022,0.75,0.665,-0.06,-0.43,-2.2,null,null
19,0.95,-0.021,0.741,0.66,-0.61,-4.21,0.15,null,null
0,0.95,0.944,-0.279,0.181,1.04,0.52,2.04,null,null
1,0.95,0.942,-0.293,0.183,0.64,0.43,2.32,null,null
2,0.95,0.956,-0.444,0.134,-4.73,3.91,-5.46,null,null
3,0.95,0.944,-0.62,0.037,-36.77,17.27,-45.32,null,null
4,0.95,0.813,-0.481,0.13,-33.91,73.27,-126.1,null,null
5,0.95,0.481,-0.166,0.248,-33.33,120.06,-202.98,null,null
6,0.95,-0.264,0.266,0.379,102.27,159.92,-304.03,null,null
7,0.95,-0.561,1.604,0.841,66.32,96.62,-263.71,null,null
8,0.95,-0.127,1.067,0.948,-44.56,1.83,-21.61,null,null
9,0.95,-0.132,0.951,0.601,3.27,-18.37,26.31,null,null
10,0.95,-0.038,0.71,0.5,1.01,7.84,14.28,null,null
11,0.95,-0.03,0.734,0.57,-1.89,2.53,0.58,null,null
12,0.95,-0.047,0.78,0.609,-10.28,7.32,1.98,null,null
13,0.95,-0.044,0.781,0.585,0.09,-3.75,-2.01,null,null
14,0.95,-0.052,0.79,0.583,-1.43,0.34,-2.9,null,null
15,0.95,-0.051,0.794,0.562,-0.34,0.27,-2.35,null,null
16,0.95,-0.057,0.79,0.578,1.74,1.62,-4.73,null,null
17,0.95,-0.073,0.818,0.585,-0.34,0.27,-3.69,null,null
18,0.95,-0.081,0.832,0.576,-6.38,1.43,-1.16,null,null
0,0.95,0.93,-0.239,0.266,-1.68,-0.34,-3.51,null,null
1,0.95,0.927,-0.252,0.268,-3.36,1.77,-2.41,null,null
2,0.95,0.965,-0.606,0.181,-5.04,-0.12,-14.98,null,null
3,0.95,0.883,-0.773,0.123,-43.82,22.19,-101.5,null,null
4,0.95,0.5,-0.149,0.303,-94.67,92.99,-217.2,null,null
5,0.95,0.176,-0.045,0.428,13.21,134.71,-242.04,null,null
6,0.95,-0.631,0.995,0.638,54.51,88.08,-263.71,null,null
7,0.95,-0.478,1.917,1.011,9.67,93.02,-151.55,null,null
8,0.95,-0.231,1.092,0.822,-8.18,-7.17,7.35,null,null
9,0.95,-0.141,0.692,0.589,-4.0,-14.22,39.37,null,null
10,0.95,-0.098,0.62,0.587,2.9,10.74,4.67,null,null
11,0.95,-0.109,0.702,0.632,-2.08,7.05,-1.4,null,null
12,0.95,-0.138,0.76,0.693,-2.41,5.98,-7.6,null,null
13,0.95,-0.136,0.75,0.671,-0.58,-1.89,0.55,null,null
14,0.95,-0.127,0.723,0.64,5.07,-5.4,1.43,null,null
15,0.95,-0.125,0.719,0.625,-4.03,-0.18,-1.74,null,null
16,0.95,-0.13,0.735,0.632,-0.03,2.26,-1.74,null,null
17,0.95,-0.139,0.757,0.656,2.29,0.92,-0.82,null,null
18,0.95,-0.145,0.746,0.637,-0.7,-1.77,0.64,null,null
0,0.95,0.952,-0.165,0.248,1.28,-1.01,0.27,null,null
1,0.95,0.949,-0.168,0.24,1.31,-0.27,-0.24,null,null
2,0.95,0.971,-0.228,0.235,-3.51,-0.06,-3.02,null,null
3,0.95,1.002,-0.533,0.168,1.62,2.75,-24.54,null,null
4,0.95,0.87,-0.375,0.174,-60.7,28.17,-106.27,null,null
5,0.95,0.681,-0.02,0.3,-46.36,64.67,-147.04,null,null
6,0.95,0.506,0.065,0.179,-72.08,93.69,-161.05,null,null
7,0.95,-0.167,-0.079,0.465,41.51,192.05,-249.37,null,null
8,0.95,-0.718,2.518,1.634,122.01,209.75,-364.7,null,null
9,0.95,-0.195,1.1,0.955,44.19,-8.42,-28.63,null,null
10,0.95,-0.156,0.803,0.594,5.95,-29.85,36.74,null,null
11,0.95,-0.048,0.648,0.449,-14.07,7.26,2.17,null,null
12,0.95,-0.079,0.746,0.608,-0.64,0.92,-6.5,null,null
13,0.95,-0.101,0.839,0.604,-7.81,4.18,-2.78,null,null
14,0.95,-0.093,0.808,0.572,2.47,-4.52,1.62,null,null
15,0.95,-0.09,0.771,0.549,1.4,-1.59,-0.98,null,null
16,0.95,-0.101,0.79,0.569,3.14,-0.46,-2.04,null,null
17,0.95,-0.103,0.817,0.584,-4.36,2.32,-1.31,null,null
18,0.95,-0.11,0.81,0.579,0.89,-1.53,-0.58,null,null
0,0.95,0.957,-0.17,0.21,0.09,-1.5,-1.01,null,null
1,0.95,0.962,-0.166,0.234,0.92,1.31,-0.49,null,null
2,0.95,1.023,-0.473,0.178,4.61,2.23,-12.88,null,null
3,0.95,0.909,-0.571,0.104,-47.7,11.35,-86.09,null,null
4,0.95,0.652,-0.27,0.134,-64.09,41.99,-159.79,null,null
5,0.95,0.447,0.045,0.347,-31.1,95.31,-225.2,null,null
6,0.95,-0.252,0.339,0.598,-52.61,137.18,-259.87,null,null
7,0.95,-0.637,1.435,0.826,17.49,87.44,-290.51,null,null
8,0.95,-0.114,1.005,0.949,-49.75,1.77,-24.78,null,null
9,0.95,-0.156,0.91,0.604,9.77,-21.73,22.4,null,null
10,0.95,-0.038,0.69,0.396,0.09,2.87,2.93,null,null
11,0.95,-0.081,0.801,0.587,4.39,1.92,-1.01,null,null
12,0.95,-0.096,0.861,0.585,-5.31,3.33,2.44,null,null
13,0.95,-0.083,0.793,0.575,-2.78,-2.78,10.01,null,null
14,0.95,-0.081,0.779,0.561,-4.76,0.67,2.29,null,null
15,0.95,-0.096,0.777,0.569,-0.95,0.89,-1.34,null,null
16,0.95,-0.072,0.792,0.594,-0.09,-1.62,-2.29,null,null
17,0.95,-0.082,0.822,0.599,-0.67,-2.72,-1.5,null,null
18,0.95,-0.078,0.789,0.571,-0.52,-0.64,-0.67,null,null
19,0.95,-0.083,0.787,0.562,1.07,0.79,-0.82,null,null
0,0.95,0.944,-0.238,0.284,-0.76,1.04,0.58,null,null
1,0.95,0.949,-0.361,0.241,2.08,-2.66,-8.33,null,null
2,0.95,0.958,-0.631,0.137,-21.58,2.2,-63.11,null,null
3,0.95,0.739,-0.344,0.185,-40.96,42.02,-152.38,null,null
4,0.95,0.562,-0.014,0.345,-91.07,89.45,-183.08,null,null
5,0.95,0.074,0.561,0.703,-37.66,88.2,-209.57,null,null
6,0.95,-0.121,0.53,0.487,54.05,83.41,-215.37,null,null
7,0.95,-0.516,2.004,1.145,48.95,120.3,-192.33,null,null
