frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.495,-0.06,0.873,-5.65,1.43,2.66,null,null
1,0.95,0.495,-0.086,0.861,-0.06,1.01,1.92,null,null
2,0.95,0.383,-0.007,1.028,30.37,-19.32,2.56,null,null
3,0.95,0.073,0.122,1.146,39.09,-123.94,92.23,null,null
4,0.95,0.609,-0.517,0.282,-10.22,-58.96,38.97,null,null
5,0.95,1.003,-0.144,0.705,-38.36,100.56,-108.52,null,null
6,0.95,0.842,-0.005,0.808,-21.94,6.96,-68.67,null,null
7,0.95,0.684,0.033,0.628,-18.62,-29.66,11.47,null,null
8,0.95,0.645,0.096,0.72,21.94,-3.54,-18.34,null,null
9,0.95,0.701,0.043,0.659,11.44,2.01,6.87,null,null
10,0.95,0.808,0.098,0.612,17.03,-17.3,25.36,null,null
11,0.95,0.776,-0.017,0.479,9.67,-1.4,23.16,null,null
12,0.95,1.01,0.073,0.343,-6.01,-32.84,11.81,null,null
13,0.95,0.798,0.119,0.556,9.31,17.64,22.06,null,null
14,0.95,0.695,-0.157,0.53,-0.03,-27.19,24.66,null,null
15,0.95,0.729,-0.026,0.828,-12.76,27.53,-28.29,null,null
16,0.95,0.397,0.017,0.936,-7.35,57.04,-64.12,null,null
17,0.95,0.516,-0.042,0.882,-2.01,10.25,-5.07,null,null
18,0.95,0.508,-0.059,0.841,-1.13,2.9,6.44,null,null
19,0.95,0.535,-0.096,0.854,-0.21,7.08,8.51,null,null
20,0.95,0.563,-0.123,0.872,0.79,0.82,-2.59,null,null
21,0.95,0.514,-0.04,0.841,-1.98,-0.03,-0.24,null,null
22,0.95,0.547,-0.063,0.845,-4.46,4.52,4.94,null,null
23,0.95,0.539,-0.083,0.859,5.89,1.62,-3.85,null,null
24,0.95,0.539,-0.083,0.863,-4.03,1.31,3.02,null,null
25,0.95,0.527,-0.078,0.866,-0.27,0.79,-0.58,null,null
26,0.95,0.523,-0.123,0.835,-1.86,-0.79,1.59,null,null
27,0.95,0.523,-0.096,0.819,-2.01,0.12,1.04,null,null
28,0.95,0.517,-0.086,0.858,0.24,-2.26,-0.37,null,null
0,0.95,0.55,-0.086,0.808,-7.05,0.95,2.72,null,null
1,0.95,0.504,-0.035,0.91,7.48,-3.88,-0.15,null,null
2,0.95,0.476,-0.109,0.884,16.11,-31.86,20.75,null,null
3,0.95,0.391,-0.123,0.91,8.3,-40.86,28.87,null,null
4,0.95,0.695,-0.223,0.575,10.25,-18.49,28.32,null,null
5,0.95,0.807,-0.097,0.637,33.2,64.12,-75.56,null,null
6,0.95,0.638,0.104,0.903,4.09,65.86,-56.4,null,null
7,0.95,0.425,0.131,0.902,-19.35,-4.79,-30.88,null,null
8,0.95,0.366,0.18,0.882,-9.89,-0.15,-20.02,null,null
9,0.95,0.786,0.059,0.663,-0.79,-4.18,1.22,null,null
10,0.95,0.784,0.093,0.657,8.27,3.6,3.75,null,null
11,0.95,0.814,0.063,0.576,11.29,-0.7,4.36,null,null
12,0.95,1.545,0.264,-0.533,133.85,-92.2,56.98,null,null
13,0.95,-0.067,-0.159,1.175,-52.67,168.86,-53.32,null,null
14,0.95,0.484,-0.46,0.98,-22.95,28.08,49.32,null,null
15,0.95,0.485,0.091,0.888,7.2,3.78,-3.2,null,null
16,0.95,0.541,0.003,0.891,-7.75,-2.66,2.17,null,null
17,0.95,0.573,-0.017,0.791,1.4,2.01,-3.14,null,null
18,0.95,0.563,0.018,0.828,-1.22,4.33,-3.97,null,null
19,0.95,0.558,-0.009,0.824,0.09,-2.75,-0.85,null,null
20,0.95,0.532,-0.009,0.83,-2.96,0.31,2.01,null,null
21,0.95,0.525,0.003,0.794,-3.97,2.69,5.49,null,null
22,0.95,0.559,-0.011,0.88,-4.46,5.25,1.34,null,null
23,0.95,0.566,-0.029,0.853,-4.0,-2.23,0.95,null,null
24,0.95,0.525,-0.017,0.816,-6.68,-0.34,2.41,null,null
25,0.95,0.535,-0.02,0.829,-2.78,2.11,-0.55,null,null
26,0.95,0.534,-0.022,0.845,-1.16,2.66,-2.56,null,null
27,0.95,0.559,-0.028,0.843,-1.92,0.21,-0.12,null,null
28,0.95,0.546,-0.021,0.84,-1.46,4.43,-4.39,null,null
0,0.95,0.54,-0.055,0.803,-1.5,0.06,1.19,null,null
1,0.95,0.471,-0.02,0.904,-2.96,0.24,5.58,null,null
