frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.622,-0.118,0.737,-7.66,-7.97,4.82,null,null
1,0.95,0.63,-0.141,0.81,-9.89,-2.56,7.05,null,null
2,0.95,0.604,-0.172,0.826,-0.12,-12.12,4.09,null,null
3,0.95,0.527,-0.157,0.799,-13.31,-2.04,8.21,null,null
4,0.95,0.618,-0.159,0.762,17.61,-24.66,-1.92,null,null
5,0.95,0.717,-0.108,0.713,15.87,-19.29,13.28,null,null
6,0.95,0.699,-0.103,0.755,26.03,-18.65,11.26,null,null
7,0.95,0.767,-0.136,0.566,15.99,-36.44,24.81,null,null
8,0.95,0.818,-0.132,0.571,19.44,-35.74,10.93,null,null
9,0.95,0.852,-0.052,0.552,26.34,-16.21,-13.95,null,null
0,0.95,0.653,-0.162,0.767,-1.53,-3.57,4.58,null,null
1,0.95,0.631,-0.147,0.794,7.35,-0.03,-10.56,null,null
2,0.95,0.616,-0.166,0.883,-5.4,-6.07,15.78,null,null
3,0.95,0.558,-0.178,0.836,1.92,-3.17,-2.99,null,null
4,0.95,0.579,-0.147,0.74,11.41,-24.96,2.38,null,null
5,0.95,0.721,-0.111,0.704,14.1,-10.28,0.82,null,null
6,0.95,0.643,-0.076,0.753,18.4,-23.74,10.44,null,null
7,0.95,0.717,-0.081,0.674,50.66,-19.84,2.87,null,null
8,0.95,0.776,0.012,0.685,35.77,-6.99,2.62,null,null
9,0.95,0.82,-0.019,0.499,25.18,-65.98,14.62,null,null
0,0.95,0.669,-0.106,0.749,0.06,2.44,-0.79,null,null
1,0.95,0.679,-0.124,0.77,-2.04,-2.84,5.1,null,null
2,0.95,0.559,-0.163,0.979,26.31,-10.16,-2.56,null,null
3,0.95,0.487,-0.198,0.921,-8.64,-32.87,-3.2,null,null
4,0.95,0.532,-0.191,0.87,37.29,-38.82,26.34,null,null
5,0.95,0.795,-0.081,0.542,51.48,-76.2,18.01,null,null
6,0.95,0.963,0.012,0.252,29.85,-49.68,-11.14,null,null
7,0.95,1.04,0.071,0.358,14.98,-11.63,-29.15,null,null
8,0.95,0.966,0.089,0.369,19.59,-19.1,-18.13,null,null
9,0.95,1.003,0.073,0.258,22.1,-24.93,-16.24,null,null
0,0.95,1.022,0.237,0.112,0.55,0.03,-1.5,null,null
1,0.95,1.069,0.253,-0.056,8.58,-16.27,11.05,null,null
2,0.95,1.107,0.128,-0.199,-15.81,-20.51,31.04,null,null
3,0.95,1.012,0.288,0.193,-19.17,18.62,2.78,null,null
4,0.95,0.842,0.143,0.319,-14.65,29.51,13.79,null,null
5,0.95,0.899,0.065,0.356,-20.36,45.69,19.1,null,null
6,0.95,0.871,0.117,0.549,-11.17,36.01,2.72,null,null
7,0.95,0.818,0.071,0.447,-19.99,34.64,7.51,null,null
8,0.95,0.832,-0.113,0.61,-34.67,56.89,5.77,null,null
