frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,-0.241,0.154,0.929,1.53,1.16,-4.12,null,null
1,0.95,-0.215,0.132,0.986,6.9,2.29,-5.95,null,null
2,0.95,-0.224,0.371,1.306,35.19,-6.78,-9.92,null,null
3,0.95,-0.248,0.46,1.484,15.17,-82.43,25.21,null,null
4,0.95,-0.226,0.485,1.232,47.4,-129.4,74.56,null,null
5,0.95,-0.028,0.407,0.971,65.46,-146.0,108.89,null,null
6,0.95,0.289,0.343,0.629,74.43,-123.26,129.37,null,null
7,0.95,0.483,0.335,0.421,51.85,-75.69,120.12,null,null
8,0.95,0.616,0.126,0.366,20.6,-37.11,118.66,null,null
9,0.95,0.675,-0.013,0.373,11.29,-27.59,94.64,null,null
10,0.95,0.67,-0.221,0.398,40.28,-29.51,74.8,null,null
11,0.95,0.703,-0.345,0.377,42.54,-43.64,70.96,null,null
12,0.95,0.878,-0.546,0.209,19.59,-34.91,54.78,null,null
13,0.95,0.863,-0.469,0.307,6.26,-7.72,20.02,null,null
14,0.95,0.91,-0.521,0.104,-1.4,-0.58,0.7,null,null
0,0.95,-0.127,0.288,1.202,-12.82,-24.2,-16.36,null,null
1,0.95,-0.039,0.313,1.154,-17.06,-75.84,1.43,null,null
2,0.95,0.01,0.3,1.119,-9.25,-90.37,17.82,null,null
3,0.95,0.169,0.326,1.061,-6.9,-113.25,44.77,null,null
4,0.95,0.27,0.318,1.001,-11.63,-133.52,82.89,null,null
5,0.95,0.448,0.112,0.704,-4.18,-139.65,104.77,null,null
6,0.95,0.555,-0.075,0.538,5.83,-117.65,108.65,null,null
7,0.95,0.619,-0.217,0.408,14.68,-109.5,113.35,null,null
8,0.95,0.616,-0.396,0.361,35.98,-85.12,99.34,null,null
9,0.95,0.614,-0.698,0.159,13.52,-94.85,80.6,null,null
10,0.95,0.688,-0.859,-0.047,28.81,-40.1,26.28,null,null
11,0.95,0.735,-0.719,0.001,2.84,4.61,-6.47,null,null
12,0.95,0.779,-0.597,0.142,-7.39,11.69,-9.49,null,null
13,0.95,0.761,-0.646,0.129,-10.01,18.52,-21.61,null,null
14,0.95,0.749,-0.596,0.113,-17.46,32.14,-38.09,null,null
0,0.95,-0.177,0.303,0.97,3.05,-12.76,-9.34,null,null
1,0.95,-0.181,0.362,0.984,1.53,-13.95,-8.24,null,null
2,0.95,-0.167,0.361,1.012,1.04,-32.84,1.13,null,null
3,0.95,-0.138,0.479,1.076,-8.67,-51.42,27.5,null,null
4,0.95,-0.05,0.481,1.092,-12.05,-79.41,56.98,null,null
5,0.95,0.059,0.426,1.039,-25.76,-100.89,95.13,null,null
6,0.95,0.23,0.281,0.965,-23.19,-117.95,109.35,null,null
7,0.95,0.389,0.067,0.796,0.0,-117.34,118.14,null,null
8,0.95,0.563,-0.169,0.526,-0.37,-111.06,110.51,null,null
9,0.95,0.576,-0.224,0.512,15.44,-82.46,96.32,null,null
10,0.95,0.598,-0.414,0.416,11.38,-100.25,98.21,null,null
11,0.95,0.655,-0.6,0.266,23.9,-83.29,70.31,null,null
12,0.95,0.765,-0.832,0.005,7.93,-52.98,38.03,null,null
13,0.95,0.794,-0.732,-0.107,-10.96,3.3,-5.8,null,null
14,0.95,0.776,-0.581,0.078,-3.57,35.74,-14.68,null,null
0,0.95,-0.124,0.494,-0.842,18.98,-13.12,-11.54,null,null
1,0.95,-0.148,0.438,-0.837,-30.09,12.94,-7.05,null,null
2,0.95,-0.085,0.513,-0.867,0.09,0.27,-6.5,null,null
3,0.95,-0.182,0.55,-0.778,16.33,-5.77,5.52,null,null
4,0.95,-0.076,0.516,-0.827,-15.44,7.39,-3.69,null,null
5,0.95,-0.142,0.545,-0.872,-10.07,2.38,6.62,null,null
6,0.95,-0.094,0.551,-0.861,7.66,1.71,-10.53,null,null
7,0.95,-0.157,0.543,-0.761,4.0,-9.43,4.36,null,null
8,0.95,-0.136,0.532,-0.837,-30.61,7.84,-3.14,null,null
9,0.95,-0.125,0.58,-0.871,-5.1,-3.02,3.42,null,null
10,0.95,-0.135,0.528,-0.879,0.0,0.61,-9.52,null,null
11,0.95,-0.117,0.542,-0.887,-3.88,-6.59,3.75,null,null
12,0.95,-0.122,0.555,-0.85,12.45,4.27,4.91,null,null
13,0.95,-0.201,0.499,-0.857,5.07,20.26,12.12,null,null
14,0.95,-0.117,0.482,-0.859,2.96,-4.46,-6.53,null,null
0,0.95,-0.227,0.577,-0.841,-3.45,10.25,-0.12,null,null
1,0.95,-0.179,0.512,-0.816,3.66,15.26,-6.99,null,null
2,0.95,-0.129,0.531,-0.815,-6.26,11.11,-15.59,null,null
3,0.95,-0.164,0.538,-0.823,-3.42,-0.12,-11.05,null,null
4,0.95,-0.144,0.537,-0.849,16.6,-2.78,-4.39,null,null
5,0.95,-0.198,0.466,-0.811,-0.61,-1.37,-3.3,null,null
6,0.95,-0.166,0.509,-0.862,-0.64,-1.16,-1.28,null,null
7,0.95,-0.186,0.556,-0.891,-11.14,-3.81,2.78,null,null
8,0.95,-0.202,0.542,-0.88,-2.35,14.74,-0.55,null,null
9,0.95,-0.211,0.507,-0.832,10.04,-9.46,4.43,null,null
10,0.95,-0.216,0.481,-0.821,-3.23,-9.8,-8.06,null,null
11,0.95,-0.238,0.531,-0.797,-3.72,-31.19,0.24,null,null
12,0.95,-0.233,0.553,-0.86,-3.72,6.01,-2.2,null,null
13,0.95,-0.232,0.567,-0.793,6.65,18.52,19.32,null,null
14,0.95,-0.148,0.534,-0.802,-10.25,6.96,-1.95,null,null
0,0.95,-0.213,0.398,-0.91,18.95,-5.83,7.63,null,null
1,0.95,-0.217,0.37,-0.908,-7.63,9.64,-4.46,null,null
2,0.95,-0.181,0.409,-0.913,-10.47,1.25,14.59,null,null
3,0.95,-0.165,0.44,-0.903,-14.8,3.66,-8.94,null,null
4,0.95,-0.196,0.37,-0.884,25.03,0.55,-0.43,null,null
5,0.95,-0.192,0.402,-0.903,4.76,-1.07,5.07,null,null
6,0.95,-0.178,0.408,-0.904,-5.25,10.77,7.72,null,null
7,0.95,-0.198,0.36,-0.825,12.54,-7.81,0.89,null,null
8,0.95,-0.156,0.362,-0.94,30.85,-3.63,0.34,null,null
9,0.95,-0.181,0.297,-0.896,34.76,-12.12,6.59,null,null
10,0.95,-0.172,0.292,-0.963,-6.23,0.37,-5.16,null,null
11,0.95,-0.175,0.358,-0.948,-4.46,-4.03,1.5,null,null
12,0.95,-0.178,0.338,-0.921,-24.08,-0.89,-14.8,null,null
13,0.95,-0.199,0.334,-0.916,-1.28,3.72,-0.7,null,null
14,0.95,-0.162,0.365,-0.923,7.48,-2.44,-1.22,null,null
0,0.95,-0.25,0.318,-0.947,-2.75,3.17,6.41,null,null
1,0.95,-0.196,0.289,-0.955,-4.94,4.15,-4.82,null,null
2,0.95,-0.22,0.256,-0.964,3.36,0.27,-0.12,null,null
3,0.95,-0.204,0.284,-0.976,0.06,3.33,3.3,null,null
4,0.95,-0.215,0.205,-0.889,-0.52,5.98,-5.04,null,null
5,0.95,-0.202,0.289,-0.941,-2.59,-1.98,4.76,null,null
6,0.95,-0.203,0.289,-0.947,-4.61,0.52,-1.74,null,null
7,0.95,-0.205,0.261,-0.925,10.04,-5.62,-4.64,null,null
8,0.95,-0.193,0.279,-0.949,6.23,-1.16,-0.98,null,null
9,0.95,-0.216,0.282,-0.936,-4.12,5.1,1.77,null,null
10,0.95,-0.193,0.281,-0.95,-9.77,4.09,-2.14,null,null
11,0.95,-0.183,0.3,-0.94,2.35,-3.3,-1.77,null,null
12,0.95,-0.183,0.286,-0.948,6.01,-1.28,-5.13,null,null
13,0.95,-0.191,0.32,-0.937,-3.05,-2.59,1.37,null,null
14,0.95,-0.214,0.29,-0.935,-5.46,3.63,-2.2,null,null
0,0.95,-0.135,0.312,-0.933,8.24,-1.37,-2.62,null,null
1,0.95,-0.151,0.307,-0.947,22.89,-3.3,2.35,null,null
2,0.95,-0.161,0.294,-0.953,-1.62,0.76,3.27,null,null
3,0.95,-0.165,0.321,-0.964,-13.98,7.42,0.85,null,null
4,0.95,-0.172,0.297,-0.928,11.93,-7.97,0.46,null,null
5,0.95,-0.173,0.297,-0.965,8.64,0.64,1.92,null,null
6,0.95,-0.162,0.295,-0.93,6.01,-4.0,-2.35,null,null
7,0.95,-0.193,0.294,-0.926,-6.87,-1.98,-3.3,null,null
8,0.95,-0.184,0.298,-0.926,-1.71,-5.71,-2.11,null,null
9,0.95,-0.183,0.321,-0.903,13.76,-6.96,-1.8,null,null
10,0.95,-0.193,0.31,-0.949,0.24,-1.31,-2.53,null,null
11,0.95,-0.197,0.278,-0.943,-8.0,16.42,-7.93,null,null
12,0.95,-0.199,0.301,-0.946,-2.99,7.45,-5.52,null,null
13,0.95,-0.182,0.278,-0.924,7.26,2.35,-9.03,null,null
14,0.95,-0.147,0.286,-0.915,-7.11,8.79,-8.06,null,null
0,0.95,0.67,0.038,0.729,4.43,-4.21,-2.29,null,null
1,0.95,0.685,0.035,0.706,3.27,2.93,-0.06,null,null
2,0.95,0.696,0.048,0.716,2.14,4.12,-0.31,null,null
3,0.95,0.702,0.049,0.725,4.33,8.18,2.75,null,null
4,0.95,0.775,-0.062,0.731,59.11,32.69,-40.07,null,null
5,0.95,0.625,0.084,0.839,-18.52,25.36,-2.87,null,null
6,0.95,0.499,0.137,0.841,-4.43,25.09,-1.59,null,null
7,0.95,0.462,0.116,0.88,0.12,15.93,-6.1,null,null
8,0.95,0.495,0.108,0.912,-1.34,0.43,-4.82,null,null
9,0.95,0.485,0.11,0.883,-8.82,4.49,1.01,null,null
10,0.95,0.502,0.045,0.866,2.75,9.67,-2.81,null,null
11,0.95,0.511,0.103,0.86,19.5,36.62,-9.0,null,null
12,0.95,0.402,0.113,0.896,4.52,29.91,-5.95,null,null
13,0.95,0.394,0.073,0.902,2.17,35.43,-11.35,null,null
14,0.95,0.334,0.111,0.953,10.86,33.02,-14.86,null,null
0,0.95,-0.059,0.061,0.983,-3.88,-19.26,-5.8,null,null
1,0.95,-0.014,0.02,0.988,1.56,-18.46,0.46,null,null
2,0.95,-0.052,0.016,1.053,3.72,-65.0,18.71,null,null
3,0.95,0.006,-0.504,0.978,118.56,61.92,-54.63,null,null
4,0.95,-0.005,0.082,0.985,21.82,-31.89,26.15,null,null
5,0.95,0.115,0.003,0.983,-12.36,-34.15,9.31,null,null
6,0.95,0.137,0.036,0.934,0.0,-23.22,-2.01,null,null
7,0.95,0.204,0.011,0.952,8.18,5.68,-6.81,null,null
8,0.95,0.168,0.029,1.002,2.44,2.5,-8.48,null,null
9,0.95,0.217,-0.013,0.994,12.91,9.52,-9.25,null,null
10,0.95,0.195,0.094,0.943,-1.31,3.05,-5.13,null,null
11,0.95,0.196,0.064,0.91,23.83,46.54,-19.59,null,null
12,0.95,0.124,-0.009,0.976,18.77,32.07,-13.7,null,null
13,0.95,0.147,0.023,0.907,49.84,34.76,-6.56,null,null
14,0.95,-0.058,0.177,0.993,18.19,28.41,-26.83,null,null
0,0.95,-0.093,0.146,0.987,-6.71,-8.73,-1.71,null,null
1,0.95,-0.095,0.143,1.109,1.43,-85.39,29.57,null,null
2,0.95,-0.142,-0.015,0.756,82.61,166.42,-66.41,null,null
3,0.95,-0.235,0.121,1.072,37.84,-20.75,17.4,null,null
4,0.95,-0.048,0.175,0.934,-26.09,-10.04,8.42,null,null
5,0.95,-0.058,0.163,0.976,-4.33,1.5,0.31,null,null
6,0.95,-0.017,0.107,1.014,5.65,-3.3,-4.12,null,null
7,0.95,-0.013,0.142,0.997,-0.89,-10.96,-0.24,null,null
8,0.95,-0.06,0.131,1.035,6.53,-13.89,-2.99,null,null
9,0.95,0.024,0.186,1.024,-6.81,-21.09,-4.79,null,null
10,0.95,0.051,0.113,0.932,-12.15,1.34,-0.27,null,null
11,0.95,-0.021,0.167,0.881,16.08,12.18,-8.7,null,null
12,0.95,0.009,0.094,0.956,-10.19,14.56,-14.16,null,null
13,0.95,0.026,0.132,0.921,26.83,33.57,-22.25,null,null
14,0.95,-0.072,0.131,1.01,-12.39,26.55,-3.94,null,null
0,0.95,-0.086,0.149,0.956,-5.13,0.03,15.9,null,null
1,0.95,-0.007,0.126,0.855,65.68,49.17,7.32,null,null
2,0.95,-0.07,0.247,0.96,-26.95,-30.46,19.44,null,null
3,0.95,-0.014,0.159,0.951,-8.64,-66.65,27.25,null,null
4,0.95,0.066,0.152,0.942,4.3,-10.13,-0.31,null,null
5,0.95,0.055,0.154,0.982,4.79,2.75,-3.36,null,null
6,0.95,0.027,0.178,0.967,8.36,5.86,-5.43,null,null
7,0.95,0.024,0.191,0.972,3.91,5.34,-5.83,null,null
8,0.95,0.033,0.231,0.961,-0.61,6.07,1.65,null,null
9,0.95,0.07,0.173,1.067,-16.48,-32.65,13.61,null,null
10,0.95,0.103,0.104,0.966,-53.04,-13.09,3.57,null,null
11,0.95,0.074,0.095,0.991,-30.73,-12.57,5.52,null,null
12,0.95,0.011,0.12,0.986,4.39,8.97,-0.89,null,null
13,0.95,0.046,0.126,0.949,-6.5,2.87,-0.76,null,null
14,0.95,0.007,0.099,0.988,-4.18,4.12,-1.46,null,null
0,0.95,0.11,0.024,0.994,-21.49,-61.62,5.55,null,null
1,0.95,0.132,0.346,0.879,118.17,110.02,1.95,null,null
2,0.95,0.158,0.317,0.906,1.71,0.82,33.42,null,null
3,0.95,0.122,0.268,0.96,-31.31,-28.05,28.2,null,null
4,0.95,0.18,0.081,0.944,-46.54,-35.34,24.05,null,null
5,0.95,0.218,-0.017,0.972,-12.91,-20.08,6.1,null,null
6,0.95,0.243,-0.002,0.981,0.52,-4.21,1.04,null,null
7,0.95,0.253,-0.015,0.974,2.14,-0.43,-7.42,null,null
8,0.95,0.227,-0.031,0.974,6.04,7.05,-12.45,null,null
9,0.95,0.23,0.01,0.952,14.5,27.92,-16.11,null,null
10,0.95,0.155,0.12,0.988,11.6,24.93,-15.23,null,null
11,0.95,0.027,0.116,0.986,-10.9,-5.34,-3.75,null,null
12,0.95,0.043,0.094,1.018,-5.19,4.09,-2.08,null,null
13,0.95,0.039,0.016,1.08,-2.35,-3.39,-1.25,null,null
14,0.95,0.086,0.026,1.017,-1.16,-1.28,-1.16,null,null
0,0.95,0.403,-0.129,0.858,-0.64,-34.82,8.88,null,null
1,0.95,0.406,-0.113,0.703,-5.34,-4.15,-3.51,null,null
2,0.95,0.443,-0.104,0.864,0.89,23.32,-22.74,null,null
3,0.95,0.47,-0.075,0.949,-6.41,11.38,-5.49,null,null
4,0.95,0.515,-0.12,0.967,-2.81,-4.21,-3.17,null,null
5,0.95,0.509,-0.105,0.831,11.6,7.87,-11.05,null,null
6,0.95,0.505,-0.098,0.792,43.82,150.88,-32.23,null,null
7,0.95,0.127,0.051,0.671,41.14,309.49,-101.26,null,null
8,0.95,-0.778,0.274,0.676,103.92,177.04,-20.51,null,null
9,0.95,-0.815,0.276,0.48,58.81,81.85,-1.74,null,null
10,0.95,-0.875,0.33,0.325,80.78,82.16,15.2,null,null
11,0.95,-0.945,0.394,0.279,17.46,27.53,-8.88,null,null
12,0.95,-0.954,0.349,0.263,1.5,7.69,1.89,null,null
13,0.95,-0.912,0.3,0.238,9.09,8.73,-3.48,null,null
14,0.95,-0.911,0.36,0.188,2.99,4.09,-6.99,null,null
0,0.95,0.473,-0.018,0.889,-0.85,-6.59,-4.36,null,null
1,0.95,0.49,-0.03,0.851,5.98,0.21,-10.07,null,null
2,0.95,0.477,-0.002,0.873,0.18,1.68,-3.51,null,null
3,0.95,0.507,-0.008,0.88,-3.42,-20.51,4.67,null,null
4,0.95,0.501,0.002,0.796,10.44,-1.53,-5.92,null,null
5,0.95,0.475,-0.032,0.817,0.34,11.2,-4.7,null,null
6,0.95,0.447,0.021,0.864,37.23,129.15,-42.51,null,null
7,0.95,-0.177,0.418,1.065,-2.11,266.52,-74.89,null,null
8,0.95,-0.856,0.382,0.876,150.88,244.39,-38.85,null,null
9,0.95,-0.824,0.48,0.434,85.42,93.48,7.75,null,null
10,0.95,-0.868,0.407,0.244,51.82,60.73,9.25,null,null
11,0.95,-0.907,0.427,0.132,31.59,44.13,-10.83,null,null
12,0.95,-0.955,0.458,0.133,29.97,42.79,5.71,null,null
13,0.95,-0.937,0.366,0.084,6.5,3.45,5.37,null,null
14,0.95,-0.889,0.372,0.057,2.41,-4.39,4.06,null,null
0,0.95,-0.185,0.327,1.015,-19.93,-41.35,13.37,null,null
1,0.95,-0.072,0.253,1.065,-72.45,-129.4,63.14,null,null
2,0.95,0.19,0.043,0.941,-64.3,-130.56,85.09,null,null
3,0.95,0.41,-0.101,0.917,-35.43,-82.4,55.54,null,null
4,0.95,0.479,-0.126,0.797,-20.2,-50.42,26.86,null,null
5,0.95,0.48,-0.129,0.746,-3.51,-14.5,1.98,null,null
6,0.95,0.573,-0.186,0.76,10.9,20.17,-31.95,null,null
7,0.95,0.554,-0.129,0.726,73.89,226.54,-107.76,null,null
8,0.95,0.034,0.41,0.782,79.9,308.54,-91.89,null,null
9,0.95,-0.626,0.374,0.679,151.65,289.41,-85.85,null,null
10,0.95,-0.741,0.462,0.426,93.14,102.48,12.05,null,null
11,0.95,-0.78,0.45,0.236,41.23,55.82,2.87,null,null
12,0.95,-0.845,0.423,0.167,44.92,27.34,4.85,null,null
13,0.95,-0.902,0.536,0.167,-0.03,3.69,-11.29,null,null
14,0.95,-0.886,0.458,0.123,16.17,4.39,10.96,null,null
0,0.95,-0.264,0.355,0.893,-3.27,-0.09,-0.89,null,null
1,0.95,-0.355,0.391,0.978,-44.62,-86.06,-3.14,null,null
2,0.95,-0.09,0.282,1.006,-106.97,-223.36,95.58,null,null
3,0.95,0.308,-0.018,0.888,-59.02,-110.69,92.2,null,null
4,0.95,0.378,-0.085,0.696,-5.86,-42.66,19.47,null,null
5,0.95,0.491,-0.134,0.85,20.72,0.82,-16.08,null,null
6,0.95,0.482,-0.118,0.93,13.89,13.0,-22.13,null,null
7,0.95,0.37,-0.046,0.877,67.63,140.87,-71.84,null,null
8,0.95,-0.038,0.156,0.944,122.5,186.16,-91.25,null,null
9,0.95,-0.245,0.232,0.919,78.8,249.06,-79.9,null,null
10,0.95,-0.774,0.258,0.747,136.36,250.74,-57.34,null,null
11,0.95,-0.738,0.371,0.397,129.8,149.33,2.44,null,null
12,0.95,-0.78,0.453,0.188,13.92,32.75,-9.25,null,null
13,0.95,-0.837,0.512,0.169,15.2,13.28,-0.79,null,null
14,0.95,-0.87,0.525,0.151,9.7,3.81,1.4,null,null
0,0.95,-0.008,0.08,1.111,-75.32,-220.65,67.29,null,null
1,0.95,0.299,-0.131,0.981,-38.54,-108.04,52.92,null,null
2,0.95,0.353,-0.152,0.916,-16.97,-42.97,14.16,null,null
3,0.95,0.373,-0.073,0.82,-34.27,-30.55,29.63,null,null
4,0.95,0.448,-0.187,0.798,-1.07,-17.03,2.72,null,null
5,0.95,0.441,-0.215,0.835,4.39,-3.2,-3.08,null,null
6,0.95,0.465,-0.226,0.827,13.61,10.32,-15.93,null,null
7,0.95,0.472,-0.121,0.852,58.6,109.53,-63.14,null,null
8,0.95,0.084,0.095,0.967,89.51,216.22,-88.35,null,null
9,0.95,-0.278,0.234,1.018,77.55,188.82,-29.42,null,null
10,0.95,-0.578,0.408,0.658,84.63,174.08,-47.91,null,null
11,0.95,-0.799,0.387,0.457,34.97,100.01,-46.45,null,null
12,0.95,-0.878,0.531,0.305,57.56,71.96,2.29,null,null
13,0.95,-0.881,0.525,0.172,63.66,47.85,28.14,null,null
14,0.95,-0.882,0.503,0.124,-9.25,-7.75,-7.63,null,null
