frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.381,-0.395,0.836,2.11,-17.37,4.91,null,null
1,0.95,0.395,-0.426,0.865,0.09,-13.92,7.69,null,null
2,0.95,0.353,-0.364,0.879,16.66,-24.9,-16.3,null,null
3,0.95,0.349,-0.284,0.952,19.44,-49.71,-17.43,null,null
4,0.95,0.426,-0.267,0.977,-24.35,-27.59,18.07,null,null
5,0.95,0.386,-0.37,0.878,-20.81,-43.03,16.51,null,null
6,0.95,0.51,-0.476,0.744,15.93,-47.73,-21.21,null,null
7,0.95,0.704,-0.289,0.42,18.4,-68.42,-40.74,null,null
8,0.95,0.778,-0.355,0.455,-9.03,-36.99,-32.78,null,null
9,0.95,0.867,-0.299,0.452,-44.43,-56.18,-30.52,null,null
10,0.95,0.854,-0.357,0.015,-99.12,-119.54,-17.43,null,null
11,0.95,1.071,-0.011,0.132,-13.18,47.79,-41.2,null,null
12,0.95,1.031,-0.288,0.277,-1.59,-9.46,33.94,null,null
13,0.95,0.867,-0.246,0.124,5.01,-6.99,21.7,null,null
14,0.95,0.913,-0.2,0.325,15.53,8.21,-7.75,null,null
15,0.95,0.936,-0.342,0.26,11.81,-5.34,-0.76,null,null
16,0.95,0.931,-0.317,0.228,7.32,-0.61,-3.14,null,null
17,0.95,0.93,-0.22,0.299,12.85,12.51,-0.89,null,null
18,0.95,0.922,-0.256,0.258,13.76,-4.61,2.41,null,null
19,0.95,0.923,-0.26,0.294,3.6,1.34,-6.35,null,null
0,0.95,0.342,-0.429,0.869,-2.2,-9.49,6.26,null,null
1,0.95,0.34,-0.447,0.842,4.15,-6.59,-4.49,null,null
2,0.95,0.308,-0.351,0.935,11.14,-22.31,-0.7,null,null
3,0.95,0.364,-0.416,1.025,0.34,-54.29,5.1,null,null
4,0.95,0.367,-0.284,0.974,22.61,-99.67,-26.0,null,null
5,0.95,0.475,-0.291,0.79,3.33,-82.22,-18.37,null,null
6,0.95,0.739,-0.339,0.371,0.64,-97.57,-5.28,null,null
7,0.95,0.752,-0.381,0.222,5.74,-51.03,0.09,null,null
8,0.95,0.892,-0.311,0.141,7.39,-65.0,-2.96,null,null
9,0.95,0.828,-0.458,-0.247,-48.71,-81.91,5.95,null,null
10,0.95,1.035,-0.101,0.229,13.09,72.97,-90.09,null,null
11,0.95,1.028,-0.23,0.355,-30.46,39.64,-62.59,null,null
12,0.95,0.992,-0.156,0.21,-39.8,-14.16,33.17,null,null
13,0.95,0.904,-0.028,0.288,-21.18,-5.43,2.32,null,null
14,0.95,0.923,-0.147,0.242,24.66,-7.72,-5.34,null,null
15,0.95,1.011,-0.168,0.378,14.19,-3.3,-11.08,null,null
16,0.95,0.934,-0.174,0.242,7.84,-7.72,13.28,null,null
17,0.95,0.949,-0.085,0.264,12.54,12.73,-1.1,null,null
18,0.95,0.933,-0.131,0.238,9.49,-6.04,2.29,null,null
19,0.95,0.967,-0.092,0.297,7.42,5.92,-1.74,null,null
0,0.95,0.334,-0.349,0.879,5.58,-2.69,-4.91,null,null
1,0.95,0.351,-0.311,0.901,15.53,-2.38,-11.99,null,null
2,0.95,0.308,-0.312,0.943,8.61,-22.28,12.21,null,null
3,0.95,0.256,-0.234,1.087,25.15,-107.52,3.88,null,null
4,0.95,0.215,-0.084,1.068,15.02,-102.97,15.47,null,null
5,0.95,0.65,-0.161,0.729,17.94,-106.36,-21.15,null,null
6,0.95,0.948,-0.284,0.365,-11.78,-76.82,-31.98,null,null
7,0.95,0.93,-0.27,0.194,-14.01,-80.97,-19.35,null,null
8,0.95,0.877,-0.258,-0.121,-65.4,-162.42,-7.78,null,null
9,0.95,1.062,0.037,0.036,-52.67,-11.96,-70.47,null,null
10,0.95,1.049,-0.158,-0.158,-19.41,-29.3,30.49,null,null
11,0.95,1.072,-0.163,0.044,7.57,-19.84,-9.37,null,null
12,0.95,0.914,-0.195,-0.084,-6.32,-14.74,31.95,null,null
13,0.95,0.934,-0.167,-0.075,-8.0,5.13,-7.02,null,null
14,0.95,1.012,-0.15,0.063,5.43,8.12,-12.24,null,null
15,0.95,0.97,-0.189,-0.014,2.59,3.63,1.13,null,null
16,0.95,1.005,-0.126,0.063,9.19,13.03,-3.3,null,null
