frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
6,0.95,-0.292,-0.14,1.041,20.87,7.84,4.0,null,null
7,0.95,-0.324,-0.168,1.002,6.04,-20.69,48.98,null,null
8,0.95,-0.225,-0.159,1.054,4.91,18.59,36.65,null,null
9,0.95,-0.181,-0.01,0.974,41.05,17.82,27.53,null,null
10,0.95,-0.204,0.067,0.939,17.98,17.3,26.22,null,null
11,0.95,-0.152,0.047,0.959,9.13,14.25,26.8,null,null
12,0.95,-0.214,0.046,0.958,20.6,15.05,8.85,null,null
13,0.95,-0.237,0.125,0.943,27.8,11.44,6.44,null,null
14,0.95,-0.221,0.082,0.977,4.43,19.38,5.77,null,null
15,0.95,-0.257,0.173,0.944,5.52,-8.7,-5.34,null,null
16,0.95,-0.174,0.145,0.972,-4.12,-56.55,18.62,null,null
17,0.95,-0.09,0.155,1.013,26.31,-18.37,-12.79,null,null
18,0.95,-0.046,0.222,1.002,9.43,-1.98,-19.5,null,null
19,0.95,-0.089,0.279,0.939,7.14,-4.39,-15.26,null,null
0,0.95,-0.139,-0.095,0.986,-6.68,-1.83,2.26,null,null
1,0.95,-0.145,-0.11,0.964,-11.44,-6.44,-4.0,null,null
2,0.95,-0.176,-0.055,0.994,3.81,-20.11,4.7,null,null
3,0.95,-0.209,-0.074,0.98,85.79,-77.73,25.64,null,null
4,0.95,-0.079,-0.084,0.977,-11.02,-60.49,50.02,null,null
5,0.95,0.008,-0.037,1.045,-0.79,-16.08,17.24,null,null
6,0.95,0.066,0.07,1.005,14.92,-19.47,27.13,null,null
7,0.95,0.096,0.059,0.982,-3.2,-31.22,46.75,null,null
8,0.95,0.248,0.055,0.945,25.03,-41.99,31.59,null,null
9,0.95,0.382,-0.09,0.808,1.1,-26.73,34.09,null,null
10,0.95,0.337,-0.047,0.976,34.94,31.19,-13.58,null,null
11,0.95,0.276,0.018,1.042,23.59,5.52,-6.32,null,null
12,0.95,0.333,0.079,0.913,35.37,44.31,-28.93,null,null
13,0.95,0.234,0.187,0.992,17.67,33.6,-52.86,null,null
14,0.95,0.17,0.277,0.999,6.26,10.35,-30.24,null,null
15,0.95,0.064,0.239,0.958,16.72,-6.68,-15.81,null,null
16,0.95,0.025,0.277,0.983,10.25,3.3,-5.07,null,null
17,0.95,0.035,0.263,0.961,5.01,9.64,6.16,null,null
18,0.95,0.02,0.288,0.96,-3.48,-0.95,1.8,null,null
19,0.95,0.034,0.311,0.933,-3.36,-8.45,-4.09,null,null
0,0.95,-0.004,-0.13,0.971,0.85,1.86,-0.61,null,null
1,0.95,-0.055,-0.043,0.974,23.99,1.1,6.78,null,null
2,0.95,-0.088,-0.137,1.032,7.14,14.25,25.12,null,null
3,0.95,-0.151,-0.224,1.022,-14.71,-12.36,49.1,null,null
4,0.95,-0.116,-0.226,1.014,-11.51,-7.54,43.15,null,null
5,0.95,-0.044,-0.103,0.979,5.1,15.78,28.35,null,null
6,0.95,-0.022,-0.092,0.981,20.84,24.2,23.26,null,null
7,0.95,0.026,-0.088,0.96,16.14,7.97,11.6,null,null
8,0.95,-0.035,-0.029,0.995,35.74,0.82,-1.07,null,null
9,0.95,0.002,0.045,0.99,29.11,4.09,-5.52,null,null
10,0.95,0.015,0.172,0.973,12.63,0.34,44.65,null,null
11,0.95,0.133,0.131,0.966,69.86,13.61,-11.72,null,null
12,0.95,0.124,0.21,1.006,7.45,-15.41,-17.91,null,null
13,0.95,0.011,0.267,0.914,4.85,5.01,-13.18,null,null
14,0.95,-0.041,0.319,0.96,8.42,11.63,-5.92,null,null
15,0.95,-0.013,0.288,0.921,9.89,6.78,0.52,null,null
16,0.95,-0.07,0.307,0.964,7.29,3.17,6.59,null,null
17,0.95,-0.03,0.307,0.925,5.22,0.0,5.77,null,null
18,0.95,-0.037,0.322,0.951,-1.34,-2.9,2.53,null,null
19,0.95,-0.022,0.313,0.919,6.62,-2.01,4.73,null,null
0,0.95,0.48,-0.011,0.874,-1.25,-2.14,5.13,null,null
1,0.95,0.458,0.014,0.91,-2.32,-8.45,9.06,null,null
2,0.95,0.368,0.029,0.926,19.04,-35.62,11.78,null,null
3,0.95,0.337,0.023,0.885,24.11,-49.26,37.08,null,null
4,0.95,0.46,0.026,0.853,36.87,-26.46,39.09,null,null
5,0.95,0.66,0.009,0.779,30.88,-6.56,39.77,null,null
6,0.95,0.761,-0.014,0.765,41.02,-5.46,13.09,null,null
7,0.95,0.706,-0.005,0.608,50.78,7.08,-21.94,null,null
8,0.95,0.755,0.12,0.56,28.5,25.82,-44.43,null,null
9,0.95,0.661,0.277,0.617,11.08,17.24,-56.43,null,null
10,0.95,0.63,0.312,0.718,-2.08,3.54,-53.16,null,null
11,0.95,0.616,0.319,0.75,-5.77,-10.71,-24.99,null,null
12,0.95,0.569,0.326,0.772,1.4,-10.68,-19.07,null,null
13,0.95,0.557,0.324,0.745,-1.53,-7.69,-0.67,null,null
14,0.95,0.57,0.351,0.757,0.92,-0.89,-4.39,null,null
15,0.95,0.571,0.327,0.748,5.28,2.11,-6.04,null,null
16,0.95,0.567,0.309,0.731,2.84,0.85,2.81,null,null
17,0.95,0.558,0.331,0.751,1.95,0.82,2.08,null,null
18,0.95,0.532,0.343,0.751,6.65,3.69,0.49,null,null
19,0.95,0.559,0.339,0.767,4.52,-1.56,-1.25,null,null
0,0.95,0.397,0.026,0.918,-6.78,-18.98,6.1,null,null
1,0.95,0.394,0.015,0.871,-2.04,-11.54,4.21,null,null
2,0.95,0.369,-0.015,0.914,-2.44,-5.89,4.64,null,null
3,0.95,0.288,0.029,1.007,0.18,-18.95,18.07,null,null
4,0.95,0.258,-0.08,1.003,11.23,-37.66,38.27,null,null
5,0.95,0.435,-0.008,0.899,33.54,-37.17,43.03,null,null
6,0.95,0.567,-0.073,0.839,25.85,-16.63,32.11,null,null
7,0.95,0.684,-0.068,0.806,-1.77,-10.8,21.88,null,null
8,0.95,0.638,0.031,0.835,-15.75,-27.01,12.88,null,null
9,0.95,0.675,0.038,0.73,4.67,-19.62,-2.93,null,null
10,0.95,0.605,0.05,0.715,14.22,-11.38,-19.93,null,null
11,0.95,0.63,0.092,0.709,67.87,17.49,-47.85,null,null
12,0.95,0.704,0.16,0.661,32.41,25.88,-52.8,null,null
13,0.95,0.657,0.259,0.718,-5.62,25.18,-39.28,null,null
14,0.95,0.568,0.357,0.8,-8.3,1.5,-23.41,null,null
15,0.95,0.54,0.337,0.762,-5.77,-4.03,-11.11,null,null
16,0.95,0.502,0.369,0.781,-4.7,-1.28,-3.54,null,null
17,0.95,0.5,0.318,0.769,1.46,-0.61,-6.04,null,null
18,0.95,0.488,0.354,0.767,4.88,5.4,-6.13,null,null
19,0.95,0.486,0.347,0.771,4.18,0.46,-3.39,null,null
