frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.935,-0.376,-0.154,2.41,-1.25,4.94,null,null
1,0.95,0.93,-0.385,-0.148,0.55,-0.7,3.72,null,null
2,0.95,0.929,-0.413,-0.172,0.21,0.18,-1.68,null,null
3,0.95,0.924,-0.387,-0.151,-2.72,4.73,-8.3,null,null
4,0.95,0.924,-0.36,-0.133,-6.23,8.51,-12.7,null,null
5,0.95,0.933,-0.339,-0.122,-7.32,8.7,-15.78,null,null
6,0.95,0.939,-0.313,-0.113,-8.36,7.81,-18.86,null,null
7,0.95,0.942,-0.281,-0.114,-10.19,7.78,-20.75,null,null
8,0.95,0.949,-0.276,-0.114,-11.29,9.19,-21.88,null,null
9,0.95,0.949,-0.294,-0.132,-11.44,7.66,-26.18,null,null
10,0.95,0.931,-0.339,-0.131,-11.93,17.73,-37.45,null,null
11,0.95,0.925,-0.317,-0.121,-10.47,23.77,-52.83,null,null
12,0.95,0.911,-0.288,-0.108,-22.92,23.5,-66.38,null,null
13,0.95,0.91,-0.225,-0.096,-29.18,32.11,-88.47,null,null
14,0.95,0.867,-0.102,-0.072,-29.36,45.47,-106.3,null,null
15,0.95,0.81,0.108,0.097,-24.17,56.25,-118.47,null,null
16,0.95,0.774,0.261,0.131,-10.93,54.48,-126.68,null,null
17,0.95,0.68,0.458,0.198,-6.68,51.45,-123.26,null,null
18,0.95,0.666,0.523,0.204,-19.14,45.08,-111.45,null,null
19,0.95,0.684,0.494,0.185,-41.96,57.89,-104.92,null,null
20,0.95,0.52,0.626,0.476,-17.21,78.01,-121.19,null,null
21,0.95,0.44,0.777,0.442,19.35,50.29,-121.28,null,null
22,0.95,0.365,0.862,0.429,-30.0,37.29,-103.79,null,null
23,0.95,0.358,0.9,0.459,-25.64,40.53,-84.51,null,null
24,0.95,0.281,0.952,0.56,-34.85,38.79,-84.69,null,null
25,0.95,0.244,0.949,0.55,-16.91,25.33,-78.31,null,null
26,0.95,0.172,0.987,0.571,17.0,25.06,-76.66,null,null
27,0.95,0.098,1.078,0.557,23.29,17.37,-67.32,null,null
28,0.95,0.092,1.083,0.518,10.07,6.5,-37.97,null,null
29,0.95,0.078,1.015,0.537,-1.1,3.69,-16.97,null,null
30,0.95,0.053,1.006,0.499,8.85,-0.89,-9.61,null,null
31,0.95,0.052,0.948,0.462,1.8,-5.25,2.35,null,null
32,0.95,0.063,0.86,0.431,-1.13,-6.9,8.51,null,null
33,0.95,0.051,0.823,0.423,-3.94,-4.61,4.49,null,null
34,0.95,0.074,0.83,0.413,-4.06,-2.9,-3.48,null,null
35,0.95,0.068,0.871,0.449,-6.74,2.23,-3.02,null,null
36,0.95,0.073,0.865,0.465,-6.07,-0.95,-1.8,null,null
37,0.95,0.073,0.879,0.462,-2.81,-0.21,-0.85,null,null
38,0.95,0.064,0.886,0.47,-1.62,-0.49,-2.32,null,null
39,0.95,0.055,0.908,0.463,-0.06,-1.16,-0.03,null,null
40,0.95,0.066,0.899,0.469,0.67,-0.46,3.72,null,null
41,0.95,0.074,0.88,0.459,1.8,-0.98,4.43,null,null
42,0.95,0.072,0.864,0.477,1.19,-1.01,5.71,null,null
43,0.95,0.087,0.858,0.465,-1.25,-0.52,3.81,null,null
44,0.95,0.072,0.87,0.458,1.43,-1.13,1.92,null,null
45,0.95,0.09,0.85,0.461,1.74,-1.53,4.49,null,null
46,0.95,0.089,0.874,0.462,1.16,0.18,2.62,null,null
47,0.95,0.091,0.878,0.471,1.04,0.52,2.69,null,null
48,0.95,0.102,0.86,0.465,0.4,-1.62,3.57,null,null
49,0.95,0.091,0.872,0.464,3.72,-0.4,0.92,null,null
50,0.95,0.104,0.86,0.477,-0.27,0.34,0.55,null,null
51,0.95,0.096,0.874,0.464,0.73,-0.79,2.26,null,null
52,0.95,0.096,0.858,0.469,1.07,-1.83,0.76,null,null
53,0.95,0.104,0.862,0.442,0.12,-1.16,0.49,null,null
54,0.95,0.097,0.883,0.449,-1.89,-1.34,1.07,null,null
0,0.95,0.112,0.879,0.465,2.53,0.85,-1.74,null,null
1,0.95,0.108,0.888,0.482,3.33,-0.34,2.29,null,null
2,0.95,0.116,0.877,0.46,6.26,-5.28,4.39,null,null
3,0.95,0.115,0.883,0.441,1.19,-2.75,2.41,null,null
4,0.95,0.125,0.863,0.448,1.92,-2.9,4.46,null,null
5,0.95,0.149,0.892,0.468,4.03,-3.36,5.22,null,null
6,0.95,0.146,1.033,0.489,4.46,-11.57,21.24,null,null
7,0.95,0.152,1.151,0.508,21.85,-13.95,46.14,null,null
8,0.95,0.33,0.925,0.418,23.77,-23.32,100.28,null,null
9,0.95,0.426,0.837,0.311,25.85,-23.62,113.65,null,null
10,0.95,0.605,0.75,0.24,36.65,-32.44,129.15,null,null
11,0.95,0.693,0.508,0.206,28.2,-53.32,174.17,null,null
12,0.95,0.834,-0.06,-0.042,71.11,-43.55,146.28,null,null
13,0.95,0.898,-0.385,-0.09,61.86,-27.01,99.15,null,null
14,0.95,0.885,-0.512,-0.039,40.16,-14.71,40.1,null,null
15,0.95,0.863,-0.447,0.002,24.66,-5.28,15.11,null,null
16,0.95,0.861,-0.546,-0.031,-14.62,3.2,-40.77,null,null
17,0.95,0.888,-0.345,-0.027,-30.49,13.67,-72.76,null,null
18,0.95,0.913,-0.101,-0.006,-42.76,14.07,-79.13,null,null
19,0.95,0.897,0.061,0.04,-33.36,21.09,-92.38,null,null
20,0.95,0.834,0.318,0.099,-31.31,20.05,-94.42,null,null
21,0.95,0.875,0.431,0.119,-15.87,13.34,-84.35,null,null
22,0.95,0.854,0.546,0.165,-3.97,11.41,-78.71,null,null
23,0.95,0.679,0.666,0.147,-12.12,1.22,-93.6,null,null
24,0.95,0.509,0.651,0.229,11.63,24.72,-119.24,null,null
25,0.95,0.272,0.789,0.193,-15.59,-1.98,-92.04,null,null
26,0.95,0.007,0.88,0.345,-2.23,17.73,-135.2,null,null
27,0.95,-0.142,1.382,0.266,-21.49,-16.85,-75.26,null,null
28,0.95,-0.088,1.278,0.263,3.02,-8.73,-36.68,null,null
29,0.95,-0.089,1.18,0.203,-11.54,-12.3,-10.65,null,null
30,0.95,-0.109,1.134,0.201,6.62,-3.63,-12.12,null,null
31,0.95,-0.119,1.095,0.184,15.29,0.49,-4.18,null,null
32,0.95,-0.097,0.982,0.215,-0.7,3.3,8.7,null,null
33,0.95,-0.079,0.949,0.235,0.09,4.3,8.48,null,null
34,0.95,-0.07,0.913,0.24,-0.58,0.4,7.35,null,null
35,0.95,-0.088,0.949,0.227,-2.78,-1.01,3.94,null,null
36,0.95,-0.084,0.934,0.219,-1.5,-1.86,3.69,null,null
37,0.95,-0.083,0.946,0.224,-0.18,3.39,1.1,null,null
38,0.95,-0.082,0.95,0.237,2.62,0.37,3.2,null,null
39,0.95,-0.059,0.965,0.21,8.18,2.62,0.79,null,null
40,0.95,-0.061,0.959,0.241,1.62,2.96,1.95,null,null
41,0.95,-0.059,0.984,0.216,-0.82,2.62,0.85,null,null
42,0.95,-0.059,0.964,0.26,-2.01,-0.58,3.88,null,null
43,0.95,-0.068,0.97,0.216,1.59,-0.89,2.78,null,null
44,0.95,-0.067,0.977,0.205,1.37,-1.43,1.74,null,null
45,0.95,-0.058,0.971,0.218,-0.31,0.52,5.95,null,null
46,0.95,-0.057,0.968,0.192,1.25,-0.4,4.09,null,null
47,0.95,-0.064,0.975,0.214,0.58,0.49,5.58,null,null
48,0.95,-0.031,0.963,0.214,-2.2,1.89,6.56,null,null
49,0.95,-0.036,0.944,0.241,-2.75,2.84,6.53,null,null
50,0.95,-0.035,0.945,0.227,7.87,-0.27,-0.46,null,null
51,0.95,-0.041,0.98,0.201,26.37,3.97,-5.43,null,null
52,0.95,-0.018,0.949,0.199,-7.54,-0.73,8.36,null,null
53,0.95,-0.037,0.995,0.19,6.13,0.03,1.4,null,null
54,0.95,-0.032,0.956,0.2,-6.16,-1.77,5.86,null,null
55,0.95,-0.018,0.969,0.197,0.67,0.15,3.05,null,null
0,0.95,-0.017,0.932,0.205,1.34,-0.89,3.75,null,null
1,0.95,-0.012,0.996,0.227,3.75,-1.53,-3.81,null,null
2,0.95,-0.006,0.992,0.185,-3.42,-4.85,11.17,null,null
3,0.95,0.016,0.955,0.15,-3.81,-2.14,12.85,null,null
4,0.95,0.017,0.967,0.183,-4.0,2.2,7.81,null,null
5,0.95,0.045,0.965,0.195,-0.27,3.45,5.89,null,null
6,0.95,0.066,0.951,0.218,-1.07,2.38,1.71,null,null
7,0.95,0.05,0.947,0.19,0.73,0.03,3.63,null,null
8,0.95,0.032,0.991,0.188,1.19,-0.09,-4.55,null,null
9,0.95,0.029,1.001,0.182,-0.52,-0.15,0.82,null,null
10,0.95,0.038,0.997,0.175,2.32,1.89,2.59,null,null
11,0.95,-0.03,1.374,0.185,10.35,-5.16,37.11,null,null
12,0.95,-0.332,1.841,0.165,48.65,-40.5,229.29,null,null
13,0.95,0.187,1.073,-0.004,84.75,36.26,285.56,null,null
14,0.95,0.552,-0.071,-0.04,84.02,3.48,282.88,null,null
15,0.95,0.665,-0.608,-0.012,52.31,-10.56,100.71,null,null
16,0.95,0.813,-0.813,-0.079,-55.02,2.75,-62.14,null,null
17,0.95,0.503,-0.645,-0.118,-65.58,24.54,-165.47,null,null
18,0.95,0.285,-0.04,0.093,-44.22,46.51,-269.66,null,null
19,0.95,-0.345,1.211,0.01,62.65,-36.71,-297.1,null,null
20,0.95,-0.469,1.643,-0.212,-79.26,-5.4,-195.07,null,null
21,0.95,-0.397,1.826,-0.011,-75.41,42.63,-107.79,null,null
22,0.95,-0.139,1.174,0.211,-44.68,10.19,38.15,null,null
23,0.95,-0.12,0.864,0.23,-22.34,-6.23,29.66,null,null
24,0.95,-0.129,0.926,0.146,3.94,-1.31,-3.63,null,null
25,0.95,-0.168,0.954,0.127,4.85,-1.89,-4.73,null,null
26,0.95,-0.129,0.965,0.15,6.68,-0.49,-2.11,null,null
27,0.95,-0.129,0.973,0.166,-1.46,-1.43,3.69,null,null
28,0.95,-0.126,0.992,0.097,-0.24,-6.5,7.72,null,null
29,0.95,-0.121,0.974,0.184,-16.42,8.64,13.55,null,null
30,0.95,-0.113,0.958,0.168,7.39,-2.29,5.31,null,null
31,0.95,-0.112,0.97,0.18,-2.38,2.84,9.0,null,null
32,0.95,-0.1,0.969,0.163,-6.2,1.59,6.78,null,null
33,0.95,-0.1,0.944,0.223,-9.83,7.69,7.42,null,null
34,0.95,-0.046,0.989,0.161,-2.01,-1.89,4.52,null,null
35,0.95,-0.118,0.962,0.231,-4.15,3.81,11.2,null,null
36,0.95,-0.083,0.944,0.193,-4.46,-5.65,12.27,null,null
37,0.95,-0.035,0.91,0.167,5.28,-2.44,-3.36,null,null
38,0.95,-0.044,0.968,0.193,-10.04,5.37,-5.74,null,null
39,0.95,-0.114,1.07,0.219,5.83,-2.14,3.42,null,null
40,0.95,-0.073,0.925,0.221,-9.09,-5.95,16.14,null,null
41,0.95,-0.062,0.996,0.167,-1.34,-6.04,4.85,null,null
42,0.95,-0.046,0.981,0.212,0.43,1.56,0.15,null,null
43,0.95,-0.025,1.011,0.22,-0.12,-1.34,0.58,null,null
44,0.95,-0.045,1.012,0.216,0.85,-4.03,9.06,null,null
