frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,-0.047,-0.255,0.349,-104.1,104.62,-124.79,null,null
1,0.95,-0.62,0.158,1.737,-125.34,121.92,-85.39,null,null
2,0.95,-0.068,-0.081,0.852,-4.85,-56.92,72.48,null,null
3,0.95,-0.205,0.007,1.016,116.82,-123.26,89.75,null,null
4,0.95,1.029,-0.271,0.157,132.69,-95.25,74.86,null,null
5,0.95,1.057,0.322,0.599,21.49,65.1,-70.71,null,null
6,0.95,0.798,0.492,0.937,-22.61,30.73,-1.22,null,null
7,0.95,0.856,0.021,0.617,-12.97,16.88,37.26,null,null
8,0.95,0.162,0.316,0.811,16.51,60.55,-20.02,null,null
9,0.95,-0.016,0.307,0.959,-46.82,28.87,4.97,null,null
10,0.95,0.13,0.293,1.155,5.62,32.35,-1.74,null,null
11,0.95,0.201,0.284,0.834,-31.8,-27.62,-3.27,null,null
12,0.95,-0.037,0.309,0.991,-62.11,-8.76,16.42,null,null
13,0.95,0.308,0.216,0.931,18.74,-65.34,24.08,null,null
14,0.95,0.379,0.128,0.949,11.32,-16.36,55.15,null,null
15,0.95,0.696,0.48,0.55,-1.98,5.01,4.49,null,null
16,0.95,0.684,0.427,0.506,21.61,-1.4,-7.08,null,null
17,0.95,1.119,0.153,0.618,-46.82,25.82,-9.67,null,null
18,0.95,0.827,-0.041,1.106,-235.48,124.64,-68.18,null,null
19,0.95,0.559,-0.194,0.756,-191.63,86.58,-218.48,null,null
20,0.95,-1.256,0.167,0.804,-17.4,154.27,-196.3,null,null
21,0.95,-0.616,0.233,1.372,-1.16,-61.65,47.03,null,null
22,0.95,-0.071,-0.045,0.965,17.85,-22.86,72.85,null,null
23,0.95,-0.45,0.367,0.917,49.35,-113.59,151.8,null,null
24,0.95,0.111,0.635,0.591,218.94,-67.84,175.3,null,null
25,0.95,0.901,0.002,0.588,175.15,-28.08,131.38,null,null
26,0.95,1.115,-0.27,0.68,71.11,-8.7,-10.22,null,null
27,0.95,1.018,-0.179,0.752,-1.28,-13.15,-34.42,null,null
28,0.95,1.207,0.125,0.627,-77.73,52.25,-51.03,null,null
0,0.95,1.259,-0.329,0.558,-233.74,63.17,-88.26,null,null
1,0.95,0.211,-0.165,0.328,-110.45,39.52,-176.31,null,null
2,0.95,-1.311,0.603,1.366,-126.9,215.74,-193.85,null,null
3,0.95,0.211,-0.314,0.068,3.75,-70.04,24.81,null,null
4,0.95,-0.105,-0.037,1.037,-9.0,-74.98,94.36,null,null
5,0.95,-0.536,0.287,1.23,78.71,-111.7,141.36,null,null
6,0.95,0.375,0.068,0.351,186.07,-155.03,160.99,null,null
7,0.95,1.151,-0.453,0.15,160.92,-143.86,50.87,null,null
8,0.95,1.213,-0.279,0.57,34.18,41.2,-50.84,null,null
9,0.95,0.842,0.42,0.635,-17.06,39.8,-24.78,null,null
10,0.95,0.725,0.389,0.542,-20.57,28.11,4.27,null,null
11,0.95,0.717,0.376,0.599,-11.93,-14.44,-6.84,null,null
12,0.95,0.7,0.396,0.574,8.24,-11.17,-20.02,null,null
13,0.95,0.722,0.395,0.559,-0.7,4.0,-17.64,null,null
14,0.95,0.684,0.45,0.583,-0.21,8.85,-18.46,null,null
15,0.95,0.649,0.44,0.589,-2.99,-2.47,-0.85,null,null
16,0.95,0.688,0.432,0.539,-24.93,19.2,0.27,null,null
17,0.95,0.944,0.103,0.853,-90.09,59.79,4.09,null,null
18,0.95,0.941,0.007,1.039,-90.82,31.89,-29.33,null,null
19,0.95,0.852,0.026,0.846,-24.29,12.67,-74.68,null,null
20,0.95,0.053,0.122,0.769,-14.77,60.18,-118.81,null,null
21,0.95,-0.584,-0.177,0.778,-55.09,106.91,-144.02,null,null
22,0.95,0.11,-0.254,0.206,137.42,-94.73,75.41,null,null
23,0.95,0.066,0.04,0.85,-2.01,-10.83,16.69,null,null
24,0.95,0.06,0.182,0.918,-9.7,-9.4,-1.4,null,null
25,0.95,-0.078,0.219,1.047,-12.88,-7.11,20.91,null,null
26,0.95,-0.223,0.355,1.134,-10.5,-24.48,37.87,null,null
27,0.95,-0.17,0.332,0.976,24.99,-87.16,112.61,null,null
28,0.95,0.303,0.002,0.688,30.67,-75.05,86.15,null,null
0,0.95,0.359,0.014,0.893,-7.69,-56.31,52.89,null,null
1,0.95,0.743,-0.23,0.81,38.39,-30.61,30.27,null,null
2,0.95,0.922,-0.076,0.64,93.17,3.05,-25.39,null,null
3,0.95,0.809,0.15,0.825,4.85,-15.84,-15.9,null,null
4,0.95,1.091,-0.086,0.523,-23.07,9.06,-4.12,null,null
5,0.95,0.773,-0.0,0.827,-54.32,58.05,-27.83,null,null
6,0.95,0.402,0.066,0.919,-5.98,88.41,-74.71,null,null
7,0.95,0.272,0.173,0.934,-44.56,76.36,-45.56,null,null
8,0.95,-0.203,0.013,0.892,-50.08,103.37,-99.58,null,null
9,0.95,-0.245,0.406,1.108,-102.97,75.72,-72.73,null,null
10,0.95,0.108,0.044,0.833,9.09,-17.7,-2.72,null,null
11,0.95,0.177,0.016,1.003,-7.81,4.64,6.56,null,null
12,0.95,0.109,0.027,0.97,9.61,-1.89,7.87,null,null
13,0.95,-0.021,0.114,1.191,13.06,-21.91,33.54,null,null
14,0.95,-0.395,0.237,0.998,59.82,-101.69,97.42,null,null
15,0.95,0.616,0.441,0.634,1.74,9.43,9.46,null,null
16,0.95,0.882,0.239,0.706,81.73,31.98,-39.0,null,null
17,0.95,0.936,-0.028,0.96,-114.75,83.1,-16.94,null,null
18,0.95,0.768,-0.002,0.914,-137.15,82.64,-50.11,null,null
19,0.95,0.308,0.091,0.717,-103.4,31.43,-95.16,null,null
20,0.95,-0.054,0.08,0.844,-61.71,49.62,-94.76,null,null
21,0.95,-0.13,-0.066,0.947,-53.62,39.49,-63.63,null,null
22,0.95,-0.049,0.029,0.987,18.43,-23.99,6.26,null,null
23,0.95,-0.127,-0.019,1.088,38.51,-44.92,62.81,null,null
