frame_index,timestamp,gesture,trial,elapsed,dataset_source,confidence,num_points,points,range_profile,motion_score
58,2026-07-26T23:42:04.018114+00:00,push,2,1.865603,session_20260726_234022,0.0,0,[],null,0.0
59,2026-07-26T23:42:04.119948+00:00,push,2,1.967431,session_20260726_234022,0.0,0,[],null,0.0
60,2026-07-26T23:42:13.005201+00:00,push,3,4.6e-05,session_20260726_234022,0.0,0,[],null,0.0
61,2026-07-26T23:42:13.110287+00:00,push,3,0.105136,session_20260726_234022,0.0,0,[],null,0.0
62,2026-07-26T23:42:13.212045+00:00,push,3,0.206886,session_20260726_234022,0.0,0,[],null,0.0
63,2026-07-26T23:42:13.314562+00:00,push,3,0.3094,session_20260726_234022,0.0,0,[],null,0.0
64,2026-07-26T23:42:13.419625+00:00,push,3,0.414463,session_20260726_234022,0.0,0,[],null,0.0
65,2026-07-26T23:42:13.520817+00:00,push,3,0.515651,session_20260726_234022,0.0,0,[],null,0.0
66,2026-07-26T23:42:13.625871+00:00,push,3,0.620705,session_20260726_234022,0.0,0,[],null,0.0
67,2026-07-26T23:42:13.730940+00:00,push,3,0.725784,session_20260726_234022,0.0,0,[],null,0.0
68,2026-07-26T23:42:13.831240+00:00,push,3,0.82608,session_20260726_234022,0.0,0,[],null,0.0
69,2026-07-26T23:42:13.936300+00:00,push,3,0.931133,session_20260726_234022,0.0,0,[],null,0.0
70,2026-07-26T23:42:14.036808+00:00,push,3,1.031641,session_20260726_234022,0.0,0,[],null,0.0
71,2026-07-26T23:42:14.141857+00:00,push,3,1.136684,session_20260726_234022,0.0,0,[],null,0.0
72,2026-07-26T23:42:14.246927+00:00,push,3,1.24177,session_20260726_234022,0.0,0,[],null,0.0
73,2026-07-26T23:42:14.347681+00:00,push,3,1.342524,session_20260726_234022,0.0,0,[],null,0.0
74,2026-07-26T23:42:14.452746+00:00,push,3,1.447582,session_20260726_234022,0.0,0,[],null,0.0
75,2026-07-26T23:42:14.554208+00:00,push,3,1.549048,session_20260726_234022,0.0,0,[],null,0.0
76,2026-07-26T23:42:14.656077+00:00,push,3,1.65091,session_20260726_234022,0.0,0,[],null,0.0
77,2026-07-26T23:42:14.761130+00:00,push,3,1.755964,session_20260726_234022,0.0,0,[],null,0.0
78,2026-07-26T23:42:14.866181+00:00,push,3,1.861011,session_20260726_234022,0.0,0,[],null,0.0
79,2026-07-26T23:42:14.970871+00:00,push,3,1.965707,session_20260726_234022,0.0,0,[],null,0.0
80,2026-07-26T23:42:21.457836+00:00,push,4,4e-05,session_20260726_234022,0.0,0,[],null,0.0
81,2026-07-26T23:42:21.562916+00:00,push,4,0.105139,session_20260726_234022,0.0,0,[],null,0.0
82,2026-07-26T23:42:21.664445+00:00,push,4,0.206649,session_20260726_234022,0.0,0,[],null,0.0
83,2026-07-26T23:42:21.769506+00:00,push,4,0.311705,session_20260726_234022,0.0,0,[],null,0.0
84,2026-07-26T23:42:21.874561+00:00,push,4,0.416757,session_20260726_234022,0.0,0,[],null,0.0
85,2026-07-26T23:42:21.976674+00:00,push,4,0.518872,session_20260726_234022,0.0,0,[],null,0.0
86,2026-07-26T23:42:22.081738+00:00,push,4,0.623941,session_20260726_234022,0.0,0,[],null,0.0
87,2026-07-26T23:42:22.186808+00:00,push,4,0.729009,session_20260726_234022,0.0,0,[],null,0.0
88,2026-07-26T23:42:22.291866+00:00,push,4,0.834064,session_20260726_234022,0.0,0,[],null,0.0
89,2026-07-26T23:42:22.395330+00:00,push,4,0.937531,session_20260726_234022,0.0,0,[],null,0.0
90,2026-07-26T23:42:22.500401+00:00,push,4,1.0426,session_20260726_234022,0.0,0,[],null,0.0
91,2026-07-26T23:42:22.605476+00:00,push,4,1.147683,session_20260726_234022,0.0,0,[],null,0.0
92,2026-07-26T23:42:22.709104+00:00,push,4,1.251306,session_20260726_234022,0.0,0,[],null,0.0
93,2026-07-26T23:42:22.813318+00:00,push,4,1.35552,session_20260726_234022,0.0,0,[],null,0.0
94,2026-07-26T23:42:22.918374+00:00,push,4,1.460568,session_20260726_234022,0.0,0,[],null,0.0
95,2026-07-26T23:42:23.023430+00:00,push,4,1.565634,session_20260726_234022,0.0,0,[],null,0.0
96,2026-07-26T23:42:23.125202+00:00,push,4,1.667402,session_20260726_234022,0.0,0,[],null,0.0
97,2026-07-26T23:42:23.230259+00:00,push,4,1.772455,session_20260726_234022,0.0,0,[],null,0.0
98,2026-07-26T23:42:23.334098+00:00,push,4,1.876297,session_20260726_234022,0.0,0,[],null,0.0
99,2026-07-26T23:42:23.436513+00:00,push,4,1.97871,session_20260726_234022,0.0,0,[],null,0.0
100,2026-07-26T23:42:31.842761+00:00,pull,0,5.1e-05,session_20260726_234022,0.0,0,[],null,0.0
101,2026-07-26T23:42:31.947846+00:00,pull,0,0.105133,session_20260726_234022,0.0,0,[],null,0.0
102,2026-07-26T23:42:32.052913+00:00,pull,0,0.210189,session_20260726_234022,0.0,0,[],null,0.0
103,2026-07-26T23:42:32.157968+00:00,pull,0,0.315241,session_20260726_234022,0.0,0,[],null,0.0
104,2026-07-26T23:42:32.263014+00:00,pull,0,0.420282,session_20260726_234022,0.0,0,[],null,0.0
105,2026-07-26T23:42:32.368055+00:00,pull,0,0.525322,session_20260726_234022,0.0,0,[],null,0.0
106,2026-07-26T23:42:32.473094+00:00,pull,0,0.630359,session_20260726_234022,0.0,0,[],null,0.0
107,2026-07-26T23:42:32.578129+00:00,pull,0,0.735393,session_20260726_234022,0.0,0,[],null,0.0
108,2026-07-26T23:42:32.683163+00:00,pull,0,0.840427,session_20260726_234022,0.0,0,[],null,0.0
