frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,0.586,0.153,0.783,-1.34,0.61,0.37,null,null
1,0.95,0.577,0.164,0.798,0.64,1.34,-0.95,null,null
2,0.95,0.576,0.166,0.791,1.25,0.27,0.06,null,null
3,0.95,0.563,0.203,0.87,7.14,-2.93,0.27,null,null
4,0.95,0.555,0.125,0.842,9.25,-26.31,24.02,null,null
5,0.95,0.542,0.221,0.805,12.54,-20.02,18.59,null,null
6,0.95,0.514,0.216,0.903,12.15,-22.16,20.63,null,null
7,0.95,0.742,0.102,0.634,20.78,-43.86,22.64,null,null
8,0.95,0.801,0.096,0.504,15.29,-33.91,10.32,null,null
9,0.95,0.799,0.098,0.552,-3.3,-23.71,8.55,null,null
10,0.95,0.798,0.162,0.597,5.13,-25.88,3.85,null,null
11,0.95,0.84,0.183,0.464,7.39,-27.31,12.6,null,null
12,0.95,0.886,0.103,0.425,7.42,-25.09,26.55,null,null
13,0.95,1.003,-0.011,0.354,9.19,-33.17,13.89,null,null
14,0.95,0.97,0.049,0.244,7.66,-26.03,-4.58,null,null
15,0.95,0.924,0.099,0.343,2.14,-3.33,2.5,null,null
16,0.95,0.937,0.111,0.38,-5.4,-15.53,4.24,null,null
17,0.95,0.929,0.082,0.371,-4.03,0.98,-2.78,null,null
18,0.95,0.914,0.08,0.382,0.24,-1.65,0.92,null,null
0,0.95,0.947,0.101,0.325,1.25,0.55,0.15,null,null
1,0.95,0.957,0.066,0.28,-0.18,-3.63,2.11,null,null
2,0.95,0.987,0.117,0.249,1.77,2.41,2.53,null,null
3,0.95,1.015,0.006,0.174,-1.92,11.75,5.07,null,null
4,0.95,1.004,0.065,0.306,-6.38,13.4,2.87,null,null
5,0.95,0.915,0.062,0.413,-10.68,24.57,5.55,null,null
6,0.95,0.934,-0.018,0.299,-13.52,4.52,9.58,null,null
7,0.95,0.932,0.028,0.373,-2.99,10.1,-4.64,null,null
8,0.95,0.931,0.019,0.412,-5.77,18.77,-14.13,null,null
9,0.95,0.932,0.035,0.347,-10.68,19.38,-12.15,null,null
10,0.95,0.936,0.07,0.448,-14.89,20.84,-4.24,null,null
11,0.95,0.876,0.065,0.49,-21.82,5.25,-8.73,null,null
12,0.95,0.91,0.02,0.487,-19.84,17.91,1.95,null,null
13,0.95,0.817,0.011,0.547,-14.4,19.65,-7.05,null,null
14,0.95,0.728,0.037,0.45,1.98,29.18,-1.62,null,null
15,0.95,0.775,0.011,0.723,-9.28,44.47,-12.6,null,null
16,0.95,0.721,0.038,0.669,-6.53,42.63,-28.78,null,null
17,0.95,0.625,0.128,0.785,-31.71,56.46,-34.24,null,null
18,0.95,0.624,0.202,0.771,-4.79,0.49,9.49,null,null
19,0.95,0.646,0.047,0.787,4.91,1.89,-8.18,null,null
0,0.95,0.602,0.063,0.793,0.85,-1.98,-0.79,null,null
1,0.95,0.594,0.068,0.799,-2.04,-2.01,1.83,null,null
2,0.95,0.599,0.049,0.796,-0.61,-2.29,2.2,null,null
