frame_index,confidence,num_points,points,range_profile,motion_score
0,0.8,8,"[{""x"": -0.18131732940673828, ""y"": 0.4134178161621094, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.20903348922729492, ""y"": 0.6287097930908203, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13947486877441406, ""y"": 0.42432546615600586, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.18596649169921875, ""y"": 0.6560683250427246, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03808736801147461, ""y"": 0.35244226455688477, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.03612041473388672, ""y"": 0.3470778465270996, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08654594421386719, ""y"": 0.7435083389282227, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.4131665229797363, ""y"": 4.24504280090332, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145166.0, 218064.0, 150373.0, 49851.0, 44780.0, 49696.0, 33168.0, 143694.0, 183153.0, 60145.0, 89240.0, 33375.0, 20285.0, 16825.0, 24121.0, 30414.0, 28553.0, 16293.0, 10576.0, 11945.0, 8387.0, 4209.0, 4642.0, 5074.0, 4477.0, 3857.0, 3520.0, 3526.0, 4131.0, 3334.0, 3221.0, 2947.0, 2758.0, 2774.0, 2915.0, 3616.0, 3066.0, 2528.0, 2589.0, 3666.0, 3540.0, 4828.0, 4414.0, 4425.0, 3865.0, 4771.0, 7035.0, 7942.0, 5300.0, 6130.0, 7063.0, 5800.0, 7644.0, 7384.0, 4506.0, 7767.0, 10698.0, 7602.0, 10481.0, 10231.0, 8790.0, 6385.0, 4575.0, 5417.0, 6482.0, 6722.0, 9377.0, 11974.0, 9104.0, 6420.0, 6613.0, 5172.0, 4305.0, 4634.0, 5171.0, 3968.0, 3406.0, 3379.0, 4754.0, 5301.0, 4994.0, 3549.0, 3827.0, 3608.0, 3848.0, 4252.0, 3521.0, 4725.0, 5323.0, 3630.0, 4977.0, 6496.0, 6738.0, 4986.0, 5513.0, 7301.0, 8881.0, 13669.0, 14384.0, 8311.0, 3748.0, 3934.0, 5557.0, 5384.0, 4918.0, 3464.0, 2981.0, 2972.0, 3535.0, 3687.0, 3356.0, 3529.0, 3678.0, 2987.0, 3156.0, 2963.0, 2637.0, 3153.0, 2352.0, 2534.0, 2649.0, 2649.0, 2528.0, 2595.0, 2110.0, 2052.0, 1880.0, 2032.0]",0.0
1,0.8,5,"[{""x"": -0.12212991714477539, ""y"": 0.37032365798950195, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13196468353271484, ""y"": 0.3916025161743164, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0743865966796875, ""y"": 0.35512447357177734, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.09369850158691406, ""y"": 0.3635287284851074, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5072226524353027, ""y"": 4.215002059936523, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[144942.0, 217924.0, 149099.0, 44950.0, 43782.0, 56272.0, 43634.0, 145952.0, 265811.0, 218008.0, 95780.0, 31358.0, 16997.0, 20425.0, 21707.0, 28400.0, 35915.0, 25237.0, 12784.0, 7191.0, 4804.0, 3728.0, 2858.0, 3748.0, 7422.0, 7742.0, 3933.0, 3211.0, 2879.0, 2930.0, 2811.0, 2770.0, 2861.0, 2812.0, 2627.0, 3390.0, 3228.0, 4331.0, 3930.0, 4177.0, 4252.0, 5427.0, 6822.0, 8622.0, 10009.0, 7025.0, 5422.0, 5839.0, 4637.0, 5488.0, 5871.0, 3645.0, 5559.0, 5102.0, 4343.0, 8093.0, 10428.0, 6009.0, 8635.0, 8804.0, 9649.0, 7574.0, 6912.0, 5730.0, 5873.0, 5012.0, 8456.0, 11552.0, 9592.0, 6158.0, 4620.0, 4386.0, 4233.0, 6510.0, 9299.0, 7157.0, 4051.0, 5676.0, 3482.0, 4243.0, 6119.0, 5045.0, 4446.0, 4686.0, 4362.0, 4836.0, 4824.0, 4645.0, 5550.0, 4151.0, 3771.0, 5084.0, 6843.0, 5299.0, 4767.0, 6875.0, 7992.0, 12630.0, 14121.0, 8407.0, 3481.0, 3858.0, 4489.0, 4744.0, 4569.0, 3697.0, 3662.0, 3957.0, 3778.0, 3499.0, 3251.0, 2929.0, 3033.0, 3290.0, 3148.0, 2684.0, 3079.0, 3793.0, 3458.0, 2954.0, 2210.0, 3199.0, 3252.0, 2502.0, 2227.0, 1979.0, 1844.0, 1868.0]",0.0
2,0.8,10,"[{""x"": -0.21457672119140625, ""y"": 0.34493207931518555, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14913082122802734, ""y"": 0.33599138259887695, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1507401466369629, ""y"": 0.3440380096435547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1627206802368164, ""y"": 0.3445744514465332, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.1609325408935547, ""y"": 0.7014870643615723, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.20706653594970703, ""y"": 0.7039904594421387, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.20635128021240234, ""y"": 0.7284879684448242, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.2796649932861328, ""y"": 0.7529854774475098, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.6331076622009277, ""y"": 4.165291786193848, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.3992915153503418, ""y"": 0.7413625717163086, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145037.0, 217717.0, 148421.0, 43293.0, 29332.0, 38483.0, 20478.0, 115527.0, 227184.0, 176260.0, 55812.0, 16543.0, 8655.0, 9049.0, 10799.0, 23583.0, 34460.0, 25097.0, 15415.0, 11751.0, 8744.0, 6518.0, 4774.0, 5866.0, 5502.0, 4665.0, 5749.0, 5130.0, 3636.0, 2623.0, 3025.0, 2999.0, 2690.0, 3065.0, 3116.0, 3928.0, 4978.0, 4415.0, 2960.0, 3164.0, 4612.0, 8118.0, 9011.0, 7654.0, 4855.0, 4028.0, 5693.0, 6738.0, 4606.0, 6061.0, 7333.0, 6222.0, 5723.0, 4761.0, 5207.0, 11797.0, 15563.0, 9083.0, 9155.0, 9702.0, 8820.0, 7806.0, 8913.0, 7423.0, 6299.0, 5537.0, 6410.0, 9709.0, 7739.0, 6915.0, 6175.0, 4890.0, 4115.0, 5580.0, 7726.0, 6490.0, 5047.0, 4606.0, 3481.0, 3828.0, 4182.0, 3756.0, 3566.0, 3320.0, 3971.0, 4337.0, 3309.0, 4159.0, 6084.0, 6336.0, 5438.0, 6374.0, 6919.0, 5277.0, 4053.0, 6292.0, 7674.0, 11830.0, 12791.0, 7035.0, 3130.0, 4006.0, 5005.0, 4386.0, 4206.0, 4094.0, 3192.0, 3363.0, 2933.0, 3284.0, 3890.0, 3472.0, 2995.0, 3319.0, 2956.0, 2869.0, 2557.0, 2740.0, 3255.0, 3003.0, 4207.0, 3535.0, 2423.0, 2712.0, 2750.0, 2315.0, 2095.0, 2059.0]",0.0
3,0.8,10,"[{""x"": -0.1823902130126953, ""y"": 0.3222227096557617, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.19186735153198242, ""y"": 0.3249049186706543, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2129673957824707, ""y"": 0.31703710556030273, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12856721878051758, ""y"": 0.6401538848876953, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.02485513687133789, ""y"": 0.7585287094116211, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.07241964340209961, ""y"": 0.7145404815673828, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.060439109802246094, ""y"": 0.7327795028686523, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.07939338684082031, ""y"": 0.7914304733276367, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.18650293350219727, ""y"": 0.8296966552734375, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.25409460067749023, ""y"": 0.3712177276611328, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145024.0, 218044.0, 147994.0, 44138.0, 17988.0, 32002.0, 11389.0, 77165.0, 159244.0, 127427.0, 46207.0, 30153.0, 11440.0, 18732.0, 16930.0, 29393.0, 42159.0, 34122.0, 19614.0, 11004.0, 8641.0, 6354.0, 3675.0, 4759.0, 5644.0, 3729.0, 3665.0, 4198.0, 4398.0, 4315.0, 3968.0, 3558.0, 3109.0, 3071.0, 3241.0, 3158.0, 4251.0, 4291.0, 3371.0, 3470.0, 4872.0, 8779.0, 9072.0, 6138.0, 4162.0, 4670.0, 5660.0, 6280.0, 6563.0, 8338.0, 10668.0, 9954.0, 8950.0, 8862.0, 9014.0, 16950.0, 20469.0, 13372.0, 8185.0, 6561.0, 6680.0, 7614.0, 5598.0, 7808.0, 5626.0, 6284.0, 9556.0, 11018.0, 6808.0, 5827.0, 4111.0, 3481.0, 4610.0, 5697.0, 6621.0, 5326.0, 5439.0, 5220.0, 4401.0, 4436.0, 5196.0, 5713.0, 5657.0, 5026.0, 4413.0, 3658.0, 3768.0, 3654.0, 4505.0, 4616.0, 4923.0, 5444.0, 6163.0, 5047.0, 5757.0, 8337.0, 9013.0, 13139.0, 13530.0, 6841.0, 3896.0, 3977.0, 6064.0, 6993.0, 5793.0, 4599.0, 4437.0, 3464.0, 3038.0, 4252.0, 5245.0, 3354.0, 3077.0, 3363.0, 2830.0, 2696.0, 2560.0, 2881.0, 2947.0, 3874.0, 3721.0, 3130.0, 3799.0, 3532.0, 2950.0, 2797.0, 2083.0, 1818.0]",0.0
4,0.8,7,"[{""x"": -0.354766845703125, ""y"": 0.2263784408569336, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2669692039489746, ""y"": 0.28574466705322266, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.04667043685913086, ""y"": 0.6950497627258301, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.07295608520507812, ""y"": 0.7422566413879395, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.10907649993896484, ""y"": 0.7547736167907715, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.12624263763427734, ""y"": 0.7848143577575684, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.09530782699584961, ""y"": 0.8307695388793945, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145288.0, 218193.0, 149913.0, 46976.0, 30482.0, 31918.0, 21245.0, 59114.0, 104199.0, 93912.0, 42335.0, 18847.0, 18907.0, 40046.0, 32663.0, 31889.0, 57095.0, 52125.0, 30003.0, 16366.0, 7465.0, 5008.0, 5066.0, 5406.0, 5137.0, 4184.0, 3773.0, 4366.0, 5096.0, 4514.0, 3547.0, 2891.0, 2624.0, 2996.0, 3270.0, 4194.0, 4444.0, 4555.0, 3281.0, 4258.0, 5103.0, 8195.0, 8504.0, 5209.0, 5216.0, 5044.0, 6642.0, 5672.0, 5482.0, 6429.0, 9556.0, 11262.0, 10680.0, 9201.0, 7505.0, 9568.0, 9373.0, 7844.0, 9221.0, 8876.0, 6389.0, 6482.0, 8701.0, 8529.0, 7843.0, 8612.0, 6754.0, 11683.0, 10036.0, 6820.0, 6137.0, 4847.0, 4449.0, 5473.0, 4950.0, 5191.0, 3927.0, 4268.0, 4091.0, 4820.0, 4546.0, 3908.0, 3521.0, 3622.0, 3392.0, 3973.0, 3681.0, 4003.0, 4243.0, 3777.0, 5489.0, 5920.0, 5456.0, 5107.0, 4785.0, 7725.0, 9670.0, 12607.0, 11587.0, 6027.0, 3674.0, 3557.0, 5910.0, 6686.0, 5515.0, 5106.0, 3452.0, 3756.0, 2632.0, 3466.0, 4103.0, 3096.0, 3044.0, 3020.0, 2630.0, 3095.0, 2672.0, 3139.0, 3045.0, 4464.0, 5585.0, 3985.0, 3107.0, 3620.0, 4049.0, 3098.0, 1783.0, 1738.0]",0.0
5,0.8,2,"[{""x"": -0.06687641143798828, ""y"": 0.698089599609375, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.11247396469116211, ""y"": 0.7476210594177246, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145192.0, 218078.0, 150470.0, 47324.0, 21289.0, 30168.0, 17371.0, 57235.0, 98046.0, 83838.0, 30056.0, 13484.0, 14111.0, 27822.0, 23931.0, 24800.0, 56733.0, 64955.0, 24698.0, 12765.0, 8985.0, 6517.0, 4938.0, 4261.0, 3351.0, 3224.0, 4189.0, 3999.0, 4047.0, 2978.0, 2844.0, 3171.0, 2915.0, 3046.0, 3792.0, 4396.0, 5145.0, 4432.0, 3962.0, 4540.0, 5220.0, 6163.0, 6011.0, 3526.0, 4682.0, 7510.0, 7580.0, 6408.0, 4488.0, 7275.0, 10065.0, 10909.0, 10416.0, 8398.0, 6762.0, 13101.0, 16273.0, 8403.0, 6779.0, 11220.0, 12745.0, 8668.0, 6498.0, 4731.0, 6683.0, 8777.0, 7821.0, 8252.0, 5426.0, 4473.0, 4895.0, 4288.0, 4642.0, 5673.0, 5966.0, 4335.0, 3621.0, 5023.0, 4512.0, 5021.0, 4245.0, 3748.0, 3789.0, 3854.0, 3126.0, 3675.0, 4338.0, 4189.0, 5049.0, 4563.0, 4720.0, 6164.0, 5895.0, 5455.0, 5832.0, 6806.0, 8354.0, 11424.0, 10957.0, 5821.0, 2784.0, 4280.0, 5423.0, 6677.0, 7781.0, 6718.0, 4169.0, 4026.0, 3390.0, 3751.0, 3805.0, 2872.0, 3005.0, 3245.0, 2789.0, 3123.0, 2953.0, 3175.0, 2796.0, 5072.0, 5506.0, 2886.0, 2601.0, 4506.0, 5587.0, 3548.0, 1633.0, 1630.0]",3562.703125
6,0.8,8,"[{""x"": -0.21725893020629883, ""y"": 0.29414892196655273, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2480149269104004, ""y"": 0.279843807220459, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2592802047729492, ""y"": 0.8102059364318848, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.24121999740600586, ""y"": 0.8311271667480469, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.27054548263549805, ""y"": 0.8341670036315918, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.011265277862548828, ""y"": 0.39321184158325195, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.006079673767089844, ""y"": 0.41234493255615234, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.02950429916381836, ""y"": 0.3808736801147461, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145149.0, 217776.0, 150128.0, 48529.0, 23985.0, 31945.0, 18483.0, 61668.0, 120494.0, 113425.0, 49590.0, 24672.0, 13896.0, 13221.0, 15402.0, 14236.0, 14571.0, 16440.0, 19958.0, 27600.0, 16528.0, 7105.0, 6485.0, 8678.0, 7877.0, 4234.0, 3596.0, 4123.0, 4190.0, 4009.0, 5072.0, 3704.0, 3246.0, 2886.0, 3458.0, 3969.0, 3635.0, 4112.0, 3903.0, 3747.0, 5965.0, 6226.0, 5764.0, 5345.0, 5698.0, 7185.0, 9370.0, 11384.0, 10965.0, 7680.0, 6359.0, 7330.0, 8047.0, 7427.0, 6492.0, 8766.0, 14478.0, 12136.0, 9319.0, 11419.0, 11411.0, 8442.0, 8493.0, 9072.0, 6492.0, 7108.0, 7979.0, 10997.0, 7068.0, 6122.0, 4323.0, 4667.0, 6024.0, 4893.0, 4584.0, 6136.0, 6125.0, 4707.0, 4088.0, 4358.0, 4604.0, 3730.0, 3659.0, 4134.0, 3416.0, 3331.0, 3872.0, 5410.0, 6193.0, 5835.0, 5758.0, 6524.0, 6145.0, 4473.0, 4556.0, 7857.0, 9710.0, 13200.0, 12676.0, 7028.0, 4445.0, 5695.0, 6435.0, 6581.0, 5917.0, 4732.0, 3880.0, 3401.0, 4522.0, 4973.0, 4046.0, 3951.0, 4261.0, 3414.0, 2862.0, 2578.0, 2820.0, 3601.0, 4970.0, 7203.0, 5536.0, 3478.0, 2699.0, 2960.0, 4394.0, 3933.0, 2661.0, 2233.0]",2987.9131875000003
7,0.8,4,"[{""x"": -0.2460479736328125, ""y"": 0.32705068588256836, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.17827749252319336, ""y"": 0.3390312194824219, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.07849931716918945, ""y"": 0.35387277603149414, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.08726119995117188, ""y"": 0.3572702407836914, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145054.0, 217911.0, 150199.0, 51019.0, 27783.0, 26194.0, 24772.0, 137939.0, 232428.0, 157774.0, 56868.0, 17774.0, 18534.0, 13559.0, 16646.0, 18706.0, 23354.0, 19024.0, 17158.0, 17839.0, 16692.0, 9014.0, 6771.0, 3673.0, 11200.0, 16841.0, 8743.0, 3901.0, 4190.0, 5277.0, 4737.0, 5240.0, 4257.0, 4043.0, 6005.0, 67174912.0, 134546947.0, 84082695.0, 180229.0, 174338560.0, 26368.0, 0.0, 2816.0, 512.0, 4294967040.0, 77311.0, 33280.0, 998244352.0, 3201903929.0, 2147483705.0, 2147483710.0, 2879.0, 3120221952.0, 19.0, 407524864.0, 2353145.0, 2097152000.0, 855151180.0, 36.0, 2504680704.0, 1292284.0, 1442840576.0, 3724294725.0, 19.0, 1615421696.0, 2340602.0, 1375731712.0, 3673793103.0, 35.0, 726561792.0, 1363462.0, 1224736768.0, 134553159.0, 22.0, 88618496.0, 2813219.0, 1124073472.0, 1176785996.0, 42.0, 776750080.0, 1.0, 1526726658.0, 1828717110.0, 4060087122.0, 2734686791.0, 1342177459.0, 3238002725.0, 2516582411.0, 3305111559.0, 973078534.0, 1073741833.0, 1912602632.0, 1543503880.0, 4177526791.0, 2936012806.0, 1275068429.0, 2902458408.0, 1006633015.0, 1275068454.0, 16908310.0, 84280068.0, 50333448.0, 48235781.0, 1680998400.0, 6815754.0, 0.0, 786432.0, 131072.0, 4294901760.0, 19791871.0, 9175040.0, 2147483648.0, 3643619643.0, 14782.0, 16000.0, 802688.0, 4178378752.0, 9195.0, 1298202624.0, 602863797.0, 0.0, 4170402924.0, 9252.0, 1263665152.0, 333708918.0, 0.0, 4257367630.0, 5145.0]",836454709.16081
8,0.8,13,"[{""x"": -0.23925304412841797, ""y"": 0.8751153945922852, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.19115209579467773, ""y"": 0.9001493453979492, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3502964973449707, ""y"": 1.6586780548095703, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0985264778137207, ""y"": 0.7000565528869629, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11605024337768555, ""y"": 0.9294748306274414, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1863241195678711, ""y"": 1.634538173675537, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.22494792938232422, ""y"": 1.6431212425231934, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2607107162475586, ""y"": 1.6488432884216309, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08207559585571289, ""y"": 0.7894635200500488, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.15503168106079102, ""y"": 0.9868741035461426, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.12803077697753906, ""y"": 1.0405182838439941, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.588582992553711, ""y"": 1.9769668579101562, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.651167869567871, ""y"": 1.9462108612060547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145087.0, 217588.0, 149140.0, 45815.0, 9617.0, 2854.0, 2311.0, 1956.0, 2468.0, 2455.0, 1884.0, 1951.0, 1819.0, 3460.0, 11579.0, 19156.0, 15550.0, 6965.0, 18460.0, 41753.0, 70536.0, 53649.0, 35343.0, 33087.0, 30151.0, 21377.0, 12065.0, 7417.0, 5749.0, 7253.0, 3613.0, 3725.0, 3039.0, 3707.0, 7530.0, 34460.0, 64940.0, 54444.0, 22273.0, 7177.0, 10789.0, 14973.0, 11562.0, 14860.0, 13618.0, 9974.0, 6300.0, 7238.0, 16918.0, 22093.0, 17763.0, 10926.0, 9018.0, 6819.0, 21207.0, 43572.0, 46872.0, 27142.0, 12482.0, 9325.0, 10954.0, 9527.0, 7965.0, 10029.0, 12003.0, 7374.0, 3747.0, 6470.0, 11397.0, 14937.0, 9968.0, 7047.0, 6428.0, 6754.0, 6839.0, 5111.0, 6051.0, 6361.0, 5397.0, 5107.0, 4833.0, 3941.0, 4981.0, 5075.0, 6075.0, 5486.0, 4758.0, 5445.0, 5201.0, 5070.0, 8059.0, 8599.0, 5118.0, 5460.0, 5665.0, 6205.0, 6422.0, 4789.0, 8431.0, 7922.0, 3647.0, 3462.0, 4638.0, 6568.0, 6317.0, 5812.0, 5375.0, 5708.0, 7055.0, 7004.0, 5890.0, 4616.0, 3521.0, 3530.0, 4233.0, 4356.0, 3361.0, 4459.0, 7948.0, 7886.0, 3924.0, 2897.0, 3584.0, 3180.0, 2674.0, 2056.0, 2631.0, 2203.0]",16734286.21996345
9,0.8,15,"[{""x"": -0.14466047286987305, ""y"": 0.7013082504272461, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.21797418594360352, ""y"": 0.7170438766479492, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2542734146118164, ""y"": 0.8883476257324219, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1385807991027832, ""y"": 0.9090900421142578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10943412780761719, ""y"": 1.6586780548095703, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.028073787689208984, ""y"": 0.9099841117858887, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.07706880569458008, ""y"": 1.6245245933532715, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.09584426879882812, ""y"": 1.6422271728515625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.08296966552734375, ""y"": 0.9478926658630371, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.18543004989624023, ""y"": 1.0401606559753418, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.21582841873168945, ""y"": 0.9813308715820312, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.33420324325561523, ""y"": 0.782310962677002, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.36656856536865234, ""y"": 1.0442733764648438, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5869736671447754, ""y"": 1.9785761833190918, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.6340017318725586, ""y"": 1.9612312316894531, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]","[145184.0, 217475.0, 149157.0, 45804.0, 9307.0, 2949.0, 2139.0, 2036.0, 2520.0, 2107.0, 1748.0, 1586.0, 1829.0, 3390.0, 10012.0, 15648.0, 13189.0, 7846.0, 11268.0, 24536.0, 45402.0, 29922.0, 27752.0, 25951.0, 36414.0, 31376.0, 13270.0, 7265.0, 7723.0, 7878.0, 6186.0, 4170.0, 6201.0, 15390.0, 16150.0, 29344.0, 42739.0, 25832.0, 11582.0, 12937.0, 10530.0, 8554.0, 10530.0, 15400.0, 14033.0, 10170.0, 7515.0, 7546.0, 11237.0, 10546.0, 10436.0, 10750.0, 9286.0, 7609.0, 20519.0, 41873.0, 45737.0, 26427.0, 10172.0, 7546.0, 10768.0, 9038.0, 6195.0, 10261.0, 11457.0, 7214.0, 5096.0, 5170.0, 11093.0, 15262.0, 10692.0, 7167.0, 7912.0, 9999.0, 8996.0, 6007.0, 5067.0, 7805.0, 7380.0, 4897.0, 4763.0, 4650.0, 3891.0, 3750.0, 4790.0, 4953.0, 4930.0, 4305.0, 3578.0, 3654.0, 5133.0, 4900.0, 3259.0, 3294.0, 4158.0, 5123.0, 5876.0, 4905.0, 7908.0, 5966.0, 3148.0, 3236.0, 3888.0, 5439.0, 5460.0, 5175.0, 5269.0, 5693.0, 5868.0, 5322.0, 5436.0, 4552.0, 3009.0, 3315.0, 3119.0, 3547.0, 3189.0, 3801.0, 5194.0, 5285.0, 3300.0, 2453.0, 2977.0, 3261.0, 2928.0, 2433.0, 2263.0, 2605.0]",16400210.157991637
