frame_index,confidence,num_points,points,range_profile,motion_score
0,0.8,18,"[{""x"": -1.1270642280578613, ""y"": 1.8682479858398438, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.42253732681274414, ""y"": 0.9995698928833008, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.40608644485473633, ""y"": 1.0483860969543457, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.8041262626647949, ""y"": 1.9154548645019531, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.714719295501709, ""y"": 1.9977092742919922, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.9278655052185059, ""y"": 1.9426345825195312, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.29987096786499023, ""y"": 1.0013580322265625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.08529424667358398, ""y"": 0.9874105453491211, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16540288925170898, ""y"": 0.9942054748535156, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.20688772201538086, ""y"": 1.1951923370361328, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12534856796264648, ""y"": 1.2461543083190918, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10442733764648438, ""y"": 1.260817050933838, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10442733764648438, ""y"": 1.279771327972412, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.6126503944396973, ""y"": 4.250943660736084, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.4922022819519043, ""y"": 2.1116137504577637, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5610456466674805, ""y"": 2.0654797554016113, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9479990005493164, ""y"": 1.9598007202148438, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.948714256286621, ""y"": 1.9844770431518555, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
1,0.8,17,"[{""x"": -0.6859302520751953, ""y"": 0.8473992347717285, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.950932502746582, ""y"": 1.9347667694091797, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.1875033378601074, ""y"": 1.8255114555358887, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.8482933044433594, ""y"": 1.9499659538269043, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.22530555725097656, ""y"": 0.991523265838623, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10728836059570312, ""y"": 0.9866952896118164, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13554096221923828, ""y"": 0.9877681732177734, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16289949417114258, ""y"": 1.2137889862060547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12981891632080078, ""y"": 1.2486577033996582, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10353326797485352, ""y"": 1.2622475624084473, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11140108108520508, ""y"": 1.2812018394470215, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.38945674896240234, ""y"": 0.9950995445251465, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.499103546142578, ""y"": 4.318714141845703, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5115141868591309, ""y"": 2.0960569381713867, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.4598369598388672, ""y"": 2.1302103996276855, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8984675407409668, ""y"": 2.0045042037963867, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9186735153198242, ""y"": 2.0096898078918457, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
2,0.8,16,"[{""x"": -1.0877251625061035, ""y"": 1.8875598907470703, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.8554458618164062, ""y"": 1.9481778144836426, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.9221434593200684, ""y"": 1.943528652191162, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13142824172973633, ""y"": 0.9632706642150879, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13375282287597656, ""y"": 0.9815096855163574, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15556812286376953, ""y"": 0.9799003601074219, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.17577409744262695, ""y"": 0.9900927543640137, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13893842697143555, ""y"": 1.2148618698120117, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12803077697753906, ""y"": 1.2499094009399414, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11140108108520508, ""y"": 1.2602806091308594, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10943412780761719, ""y"": 1.2774467468261719, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.4051198959350586, ""y"": 2.1706223487854004, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4372339248657227, ""y"": 4.353940486907959, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5131235122680664, ""y"": 2.095341682434082, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8991827964782715, ""y"": 2.0284652709960938, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9115209579467773, ""y"": 1.9930601119995117, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
3,0.8,19,"[{""x"": -1.0104775428771973, ""y"": 1.9353032112121582, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.8769035339355469, ""y"": 1.9428133964538574, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.8980035781860352, ""y"": 1.9619464874267578, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10764598846435547, ""y"": 0.983119010925293, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12642145156860352, ""y"": 0.9804368019104004, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.20742416381835938, ""y"": 1.126706600189209, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1811385154724121, ""y"": 1.199483871459961, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13053417205810547, ""y"": 1.248478889465332, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11855363845825195, ""y"": 1.25885009765625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10102987289428711, ""y"": 1.2769103050231934, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.4202127456665039, ""y"": 0.9849071502685547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.47510862350463867, ""y"": 0.9444952011108398, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.4249682426452637, ""y"": 2.156674861907959, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4163126945495605, ""y"": 4.343926906585693, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.444922924041748, ""y"": 4.349648952484131, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.525282859802246, ""y"": 2.085864543914795, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8968582153320312, ""y"": 2.0574331283569336, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9025802612304688, ""y"": 2.0020008087158203, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9281506538391113, ""y"": 2.001821994781494, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
4,0.8,18,"[{""x"": -0.9607672691345215, ""y"": 1.8948912620544434, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.9704232215881348, ""y"": 1.9265413284301758, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.0889768600463867, ""y"": 1.8929243087768555, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.4082322120666504, ""y"": 1.004934310913086, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.30916929244995117, ""y"": 1.0886192321777344, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.0870823860168457, ""y"": 0.9908080101013184, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16325712203979492, ""y"": 1.202702522277832, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13017654418945312, ""y"": 1.2477636337280273, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1246333122253418, ""y"": 1.25885009765625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15932321548461914, ""y"": 1.2706518173217773, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.05078315734863281, ""y"": 0.9979605674743652, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.29397010803222656, ""y"": 0.9827613830566406, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.5026798248291016, ""y"": 4.2972564697265625, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4951696395874023, ""y"": 4.320859909057617, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5399456024169922, ""y"": 2.073526382446289, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.872718334197998, ""y"": 2.0855069160461426, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9671320915222168, ""y"": 1.935124397277832, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9596219062805176, ""y"": 1.972496509552002, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
5,0.8,16,"[{""x"": -0.9993910789489746, ""y"": 1.8730759620666504, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.0004639625549316, ""y"": 1.9109845161437988, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.119554042816162, ""y"": 1.874685287475586, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.4547238349914551, ""y"": 0.9743571281433105, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.06651878356933594, ""y"": 0.9972453117370605, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15485286712646484, ""y"": 1.0194182395935059, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14591217041015625, ""y"": 1.2170076370239258, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14036893844604492, ""y"": 1.2472271919250488, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13267993927001953, ""y"": 1.2561678886413574, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1823902130126953, ""y"": 1.2656450271606445, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.017702579498291016, ""y"": 1.007080078125, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.2955794334411621, ""y"": 2.032935619354248, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.3213624954223633, ""y"": 4.396498203277588, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.3830533027648926, ""y"": 4.38380241394043, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.907050609588623, ""y"": 1.9894838333129883, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9116997718811035, ""y"": 2.0170211791992188, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
6,0.8,16,"[{""x"": -1.0256767272949219, ""y"": 1.855909824371338, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.0136961936950684, ""y"": 1.903831958770752, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.1404752731323242, ""y"": 1.861274242401123, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.16897916793823242, ""y"": 1.204848289489746, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1328587532043457, ""y"": 1.2516975402832031, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11712312698364258, ""y"": 1.2606382369995117, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13214349746704102, ""y"": 1.274406909942627, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.05650520324707031, ""y"": 0.9977817535400391, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.034689903259277344, ""y"": 1.0119080543518066, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.19311904907226562, ""y"": 1.0192394256591797, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.2980828285217285, ""y"": 2.0322203636169434, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.3637075424194336, ""y"": 0.9999275207519531, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.391815185546875, ""y"": 4.355013370513916, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4493932723999023, ""y"": 4.346966743469238, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8732547760009766, ""y"": 2.0543932914733887, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9088387489318848, ""y"": 1.989126205444336, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
7,0.8,18,"[{""x"": -1.0346174240112305, ""y"": 1.850724220275879, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.007080078125, ""y"": 1.907050609588623, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.164078712463379, ""y"": 1.8416047096252441, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.22047758102416992, ""y"": 0.9786486625671387, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13518333435058594, ""y"": 0.9816884994506836, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.15807151794433594, ""y"": 1.207888126373291, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.13321638107299805, ""y"": 1.249372959136963, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11783838272094727, ""y"": 1.2590289115905762, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.09334087371826172, ""y"": 1.2740492820739746, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.1925826072692871, ""y"": 2.027571201324463, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.2592802047729492, ""y"": 2.0374059677124023, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.28073787689208984, ""y"": 1.039266586303711, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.38230419158935547, ""y"": 0.9872317314147949, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.3685693740844727, ""y"": 4.368603229522705, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.452254295349121, ""y"": 4.345357418060303, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8762946128845215, ""y"": 2.0229220390319824, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8836259841918945, ""y"": 2.0467042922973633, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.8821954727172852, ""y"": 2.0779967308044434, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
8,0.8,21,"[{""x"": -0.9759664535522461, ""y"": 1.8866658210754395, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.9865164756774902, ""y"": 1.9179582595825195, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -1.1029243469238281, ""y"": 1.8771886825561523, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.2353191375732422, ""y"": 0.9689927101135254, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.08404254913330078, ""y"": 0.9663105010986328, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14984607696533203, ""y"": 0.9763240814208984, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.14197826385498047, ""y"": 1.2137889862060547, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1341104507446289, ""y"": 1.2479424476623535, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11247396469116211, ""y"": 1.2592077255249023, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.12445449829101562, ""y"": 1.275479793548584, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.12230873107910156, ""y"": 2.0393729209899902, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.11032819747924805, ""y"": 1.1177659034729004, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.1748800277709961, ""y"": 2.0508170127868652, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.3018379211425781, ""y"": 1.035153865814209, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.4030466079711914, ""y"": 0.977933406829834, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.436518669128418, ""y"": 4.331409931182861, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4930238723754883, ""y"": 4.322290420532227, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.549065113067627, ""y"": 2.0719170570373535, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.6320347785949707, ""y"": 2.0136237144470215, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.855909824371338, ""y"": 2.0425915718078613, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.909196376800537, ""y"": 2.023637294769287, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
9,0.8,21,"[{""x"": -1.0233521461486816, ""y"": 1.9260048866271973, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.3368854522705078, ""y"": 0.9639859199523926, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.863492488861084, ""y"": 1.938164234161377, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.9387731552124023, ""y"": 1.9420981407165527, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.22029876708984375, ""y"": 0.9732842445373535, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.07992982864379883, ""y"": 0.9639859199523926, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1423358917236328, ""y"": 0.9766817092895508, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.17112493515014648, ""y"": 1.208961009979248, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.1398324966430664, ""y"": 1.2468695640563965, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.11658668518066406, ""y"": 1.2579560279846191, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.10263919830322266, ""y"": 1.272261142730713, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": -0.04667043685913086, ""y"": 1.1376142501831055, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.04380941390991211, ""y"": 2.043485641479492, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.04792213439941406, ""y"": 2.057790756225586, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.33527612686157227, ""y"": 1.0197758674621582, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 0.37747621536254883, ""y"": 0.9827613830566406, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 2.4973154067993164, ""y"": 4.31978702545166, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.5964508056640625, ""y"": 2.0363330841064453, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.6888976097106934, ""y"": 1.9687414169311523, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.86842679977417, ""y"": 2.0311474800109863, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}, {""x"": 1.9109845161437988, ""y"": 2.0218491554260254, ""z"": 0.0, ""velocity"": 0.0, ""snr"": 0.0}]",null,0.0
