frame_index,confidence,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat,trajectory
0,0.95,-0.298,0.085,0.984,0.61,-1.77,-1.74,null,null
1,0.95,-0.323,0.073,0.973,3.17,-7.81,1.19,null,null
2,0.95,-0.874,0.214,1.011,19.56,-32.65,11.63,null,null
3,0.95,-0.914,-0.443,0.54,17.73,-106.48,76.17,null,null
4,0.95,0.525,0.594,0.52,114.9,-9.46,30.92,null,null
5,0.95,0.516,0.532,0.918,132.54,131.87,-67.66,null,null
6,0.95,-0.28,0.938,0.983,48.65,66.47,-78.8,null,null
7,0.95,-0.29,0.59,0.77,-15.66,-49.78,5.77,null,null
8,0.95,-0.394,0.502,0.717,-28.23,-34.42,14.34,null,null
9,0.95,-0.356,0.504,0.731,0.82,6.68,19.93,null,null
0,0.95,0.285,0.761,0.944,55.73,117.34,-192.51,null,null
1,0.95,-0.371,0.885,1.126,-45.63,26.58,-19.44,null,null
2,0.95,-0.359,0.377,0.96,-2.01,-3.88,32.59,null,null
3,0.95,-0.364,0.288,0.838,20.72,-2.53,22.25,null,null
4,0.95,-0.33,0.412,0.82,3.36,-3.02,24.11,null,null
5,0.95,-0.327,0.42,0.847,-25.15,8.15,27.59,null,null
6,0.95,-0.313,0.373,0.866,-39.4,-0.76,31.74,null,null
7,0.95,-0.396,0.33,0.85,-24.78,-5.16,16.97,null,null
8,0.95,-0.327,0.285,0.84,-6.44,-3.57,13.89,null,null
9,0.95,-0.336,0.325,0.887,0.4,1.28,10.35,null,null
0,0.95,-0.107,0.037,0.545,144.44,-161.84,56.58,null,null
1,0.95,0.706,0.83,0.518,146.52,-62.07,-181.68,null,null
2,0.95,0.301,0.847,0.597,-12.63,-17.4,-113.93,null,null
3,0.95,0.174,0.653,0.799,-9.52,18.31,-41.93,null,null
4,0.95,0.044,0.546,0.899,18.34,2.32,30.0,null,null
5,0.95,0.044,0.478,0.832,-33.78,31.56,66.65,null,null
6,0.95,0.093,0.462,0.937,-57.89,78.07,61.4,null,null
7,0.95,0.022,0.332,0.889,-34.64,29.69,29.82,null,null
8,0.95,-0.63,0.244,0.863,-61.43,15.99,-33.94,null,null
9,0.95,-0.946,0.227,0.95,-38.39,27.04,-46.63,null,null
0,0.95,0.811,0.909,0.803,-26.03,65.19,102.79,null,null
1,0.95,-0.201,-0.147,0.455,-169.16,-58.14,-11.17,null,null
2,0.95,-1.871,-0.571,1.358,-194.31,149.72,-136.6,null,null
3,0.95,-0.321,0.02,0.964,-7.45,26.89,10.99,null,null
4,0.95,-0.233,-0.108,0.834,8.27,14.16,4.61,null,null
5,0.95,-0.343,0.034,0.998,-22.06,0.37,-4.91,null,null
6,0.95,-0.349,-0.065,0.972,-6.38,-16.91,12.27,null,null
7,0.95,-0.231,-0.026,0.92,6.87,-0.82,4.97,null,null
8,0.95,-0.321,-0.003,0.966,1.74,3.48,7.69,null,null
9,0.95,-0.325,-0.005,0.908,20.26,4.39,8.61,null,null
0,0.95,0.678,0.862,0.925,27.68,11.9,45.32,null,null
1,0.95,0.832,0.72,0.94,-31.04,-39.0,92.62,null,null
2,0.95,-0.661,0.034,0.827,-106.63,-46.57,-40.59,null,null
3,0.95,-1.017,-0.139,1.153,-84.48,84.96,-103.7,null,null
4,0.95,-0.351,-0.026,0.827,-89.27,-16.36,9.52,null,null
5,0.95,-0.408,0.148,0.843,2.72,33.14,-9.28,null,null
6,0.95,-0.943,-0.215,0.905,-24.08,-47.49,87.86,null,null
7,0.95,-0.134,0.213,0.887,91.37,3.57,50.2,null,null
8,0.95,0.407,0.132,1.016,32.35,36.9,-8.42,null,null
9,0.95,0.239,0.425,0.945,47.52,23.9,-34.97,null,null
0,0.95,-1.931,-0.181,0.795,-177.92,38.18,-116.98,null,null
1,0.95,-0.415,0.329,0.93,164.49,45.78,-87.98,null,null
2,0.95,-0.29,-0.235,0.803,-53.5,-63.3,26.25,null,null
3,0.95,-0.443,0.078,0.881,-6.53,30.4,5.65,null,null
4,0.95,-1.087,-0.176,0.856,-36.19,-35.34,112.09,null,null
5,0.95,-0.751,-0.169,0.829,24.02,-15.2,106.23,null,null
6,0.95,-0.009,0.238,0.72,120.03,0.73,49.96,null,null
7,0.95,0.328,0.656,0.749,117.1,45.9,-72.88,null,null
8,0.95,-0.082,0.484,0.936,26.09,122.71,-18.49,null,null
9,0.95,-0.514,0.625,0.962,-103.0,44.13,-0.67,null,null
0,0.95,-0.515,0.566,0.774,9.09,-26.4,-11.84,null,null
1,0.95,-0.174,0.601,0.834,12.45,-5.16,3.23,null,null
2,0.95,0.445,0.694,1.051,-20.17,1.86,47.55,null,null
3,0.95,0.846,0.435,1.032,-94.97,-41.17,-3.27,null,null
4,0.95,-2.453,-0.172,0.515,-106.39,-231.7,-117.5,null,null
5,0.95,-0.88,0.156,1.169,166.02,82.37,-144.99,null,null
6,0.95,-0.59,-0.006,0.786,-147.07,-91.31,66.87,null,null
7,0.95,-1.361,-0.201,0.57,27.47,-0.03,129.92,null,null
8,0.95,-0.352,0.13,0.679,161.93,-3.11,104.37,null,null
9,0.95,0.286,0.508,0.918,119.69,44.56,-28.93,null,null
0,0.95,1.096,0.663,1.43,-115.97,43.61,24.02,null,null
1,0.95,-0.429,-0.348,0.255,-41.84,-288.58,-99.61,null,null
2,0.95,-1.657,0.131,1.305,-110.9,355.66,-228.25,null,null
3,0.95,-0.679,-0.017,0.504,-90.4,-134.04,73.31,null,null
4,0.95,-0.945,0.071,0.682,39.92,12.39,-5.77,null,null
5,0.95,-1.528,-0.491,0.465,-13.18,-88.2,141.7,null,null
6,0.95,0.574,-0.303,1.029,190.56,-27.25,130.04,null,null
7,0.95,0.819,0.352,0.594,223.64,-45.23,61.74,null,null
8,0.95,0.221,0.873,0.867,-58.35,101.38,-86.03,null,null
9,0.95,-0.37,1.008,0.928,31.04,17.94,4.58,null,null
0,0.95,-0.654,-0.944,0.797,-9.43,36.74,-229.01,null,null
1,0.95,-0.797,-0.233,0.939,19.53,72.12,-297.46,null,null
2,0.95,-0.712,0.879,1.044,-2.53,61.83,-250.86,null,null
3,0.95,-0.179,0.872,1.037,19.23,-5.49,-52.28,null,null
4,0.95,0.098,0.232,1.005,21.85,2.75,-2.41,null,null
5,0.95,0.079,0.076,0.976,15.32,7.6,7.05,null,null
6,0.95,0.117,-0.053,0.98,8.09,0.85,7.93,null,null
7,0.95,0.083,0.01,0.985,1.53,-4.55,4.49,null,null
8,0.95,0.079,-0.022,0.983,-2.29,-2.59,4.82,null,null
9,0.95,0.084,-0.009,1.017,10.13,4.3,6.01,null,null
0,0.95,0.183,0.069,0.977,6.65,-1.56,-3.72,null,null
1,0.95,0.2,0.005,0.959,-16.82,-5.43,-1.77,null,null
2,0.95,0.151,0.057,0.992,-4.15,3.02,-10.56,null,null
3,0.95,0.133,0.033,0.99,1.68,-2.08,10.65,null,null
4,0.95,0.162,-0.029,1.015,3.85,1.62,8.45,null,null
5,0.95,0.145,-0.023,0.984,-4.39,4.3,3.88,null,null
6,0.95,0.137,-0.049,0.98,-14.13,0.12,2.41,null,null
7,0.95,0.124,-0.053,0.982,-9.95,2.23,0.43,null,null
8,0.95,0.086,-0.026,0.975,-0.73,3.88,-5.89,null,null
9,0.95,0.102,-0.056,0.987,4.09,3.57,-5.1,null,null
0,0.95,-0.033,-0.327,0.941,-3.14,1.22,6.53,null,null
1,0.95,-0.024,-0.349,0.926,0.24,1.4,0.64,null,null
2,0.95,-0.042,-0.367,0.933,-5.52,0.03,-0.89,null,null
3,0.95,-0.036,-0.503,0.935,-5.74,1.71,-8.97,null,null
4,0.95,-0.07,-0.586,0.87,3.51,6.81,-36.5,null,null
5,0.95,-0.107,-0.585,0.852,4.49,18.92,-64.82,null,null
6,0.95,-0.134,-0.534,0.865,2.87,28.11,-95.1,null,null
7,0.95,-0.194,-0.478,0.909,15.56,31.01,-119.94,null,null
8,0.95,-0.246,-0.358,0.899,28.72,40.16,-146.79,null,null
9,0.95,-0.264,-0.257,0.954,23.44,41.23,-151.52,null,null
0,0.95,-0.262,-0.865,0.719,45.96,10.47,-78.62,null,null
1,0.95,-0.418,-0.865,0.752,63.94,36.65,-166.11,null,null
2,0.95,-0.594,-0.594,0.766,49.93,25.94,-241.74,null,null
3,0.95,-0.671,-0.373,0.928,11.81,53.68,-247.51,null,null
4,0.95,-0.667,0.215,0.987,35.13,59.39,-218.48,null,null
5,0.95,-0.369,0.287,1.017,16.63,17.49,-114.84,null,null
6,0.95,-0.154,0.218,0.972,23.04,9.92,-57.5,null,null
7,0.95,-0.047,0.09,1.017,14.59,12.51,-35.49,null,null
8,0.95,-0.023,-0.003,1.067,17.06,7.32,-24.05,null,null
9,0.95,-0.079,0.096,0.963,14.1,3.17,-4.33,null,null
0,0.95,-0.622,0.09,0.937,-12.05,-54.08,177.19,null,null
1,0.95,-0.594,-0.245,0.899,-4.64,-49.96,206.55,null,null
2,0.95,-0.462,-0.439,0.895,-19.93,-47.33,204.75,null,null
3,0.95,-0.255,-0.556,0.841,-41.81,-45.17,176.52,null,null
4,0.95,-0.229,-0.617,0.803,-68.33,-50.63,153.6,null,null
5,0.95,-0.195,-0.606,0.781,-10.77,-38.0,114.69,null,null
6,0.95,-0.125,-0.719,0.825,-22.43,-25.51,99.95,null,null
7,0.95,-0.072,-0.732,0.865,-26.76,-12.09,63.2,null,null
8,0.95,-0.063,-0.619,0.836,-1.8,-7.69,29.91,null,null
9,0.95,-0.03,-0.551,0.864,15.2,8.3,3.88,null,null
0,0.95,-0.108,-0.134,0.981,-3.88,2.96,-5.95,null,null
1,0.95,-0.123,-0.132,0.994,-4.24,2.11,-6.04,null,null
2,0.95,-0.11,-0.117,1.0,-0.21,0.98,-1.59,null,null
3,0.95,-0.129,0.024,1.002,-7.39,-1.74,-1.22,null,null
4,0.95,-0.23,0.143,1.0,-23.13,-11.23,16.79,null,null
5,0.95,-0.279,0.142,0.987,-19.53,-19.53,57.22,null,null
6,0.95,-0.35,0.053,0.967,-18.34,-28.23,92.53,null,null
7,0.95,-0.385,-0.069,0.966,-16.79,-27.65,123.72,null,null
8,0.95,-0.38,-0.32,0.965,-16.63,-48.92,149.85,null,null
9,0.95,-0.295,-0.391,0.922,-29.54,-55.51,142.83,null,null
0,0.95,-0.576,-0.05,0.888,15.99,-73.73,152.38,null,null
1,0.95,-0.464,-0.279,0.839,4.09,-57.31,176.64,null,null
2,0.95,-0.299,-0.448,0.871,-9.58,-57.16,174.02,null,null
